NPC;+STOCK;58;14;17567.13;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;+STOCK;45;13;11577.28;Acrondia Hub;Temple Gates;4h 47m 59s ;17279.98
NPC;+LOCAL;15;22;4875;Starbase Corporate Center;Void Starcross;5h 19m 46s ;19186.66
NPC;+LOCAL;15;2;4875;Starbase Corporate Center;Void Starcross;5h 39m 51s ;20391.94
NPC;+LOCAL;15;2;4875;Starbase Corporate Center;Void Starcross;5h 47m 39s ;20859.19
NPC;+LOCAL;15;6;4875;Starbase Corporate Center;Void Starcross;6h 24m 3s ;23043.55
NPC;+LOCAL;15;19;4875;Acrondia Hub;Temple Gates;7h 11m 49s ;25909.71
NPC;+STOCK;207;12;12398.65;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;86;13;10627.4;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;26;11;5140.969;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;50;11;12886.05;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;221;14;12101.5;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;-PRICE;14;0;8057.769;CoraVault;Lins;14h 47m 2s ;53222.26
NPC;-PRICE;56;0;16871.26;Daemon Ammunitions;Starfort Ramos;15h 13m 39s ;54819.5
NPC;-QTY;72;-14;10569.19;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;+LOCAL;15;1;8611.06;Monarch Society;Solitudes of Frey;15h 18m 12s ;55092.99
NPC;BAL;194;-13;13150.93;Biomate University;Void Starcross;16h 10m 6s ;58206.41
