NPC;-PRICE;17;0;57087.95;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;42;-2;73764.13;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;41;4;68695.27;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;7;3;38720.32;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;46;4;70737.7;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;28;4;50180.39;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;27;4;39682.74;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;45;4;66029.32;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;-QTY;3;-4;38380.98;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;+QTY;48;2;70167.22;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;BAL;39;-2;63552.14;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;43;4;61816.5;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;7;3;60752.01;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;7;4;35179.38;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;52;4;67818.72;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;31;3;49178.35;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;30;3;38537.02;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;40;-3;63768.83;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;50;-2;74266.72;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
