NPC;+QTY;37;11;1879298;Stinkfinger;Jonisae;5h 52m 31s ;21151.35
NPC;+STOCK;93;9;1605975;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+LOCAL;12;85;682784.4;Gemini Mining;Jala;16h 2m 31s ;57751.33
NPC;BAL;87;-6;1655475;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+LOCAL;12;2;682784.4;Gemini Mining;Jala;16h 15m 11s ;58511.58
NPC;-LOCAL;0;0;2706394;Crystalis Broadcasting;Jermicus;17h 15m 50s ;62150.7
NPC;-LOCAL;0;0;4202173;Crystalis Broadcasting;Jermicus;18h 28m 24s ;66504.64
NPC;-LOCAL;0;0;4931820;Crystalis Broadcasting;Jermicus;19h 4m 13s ;68653.3
NPC;-LOCAL;0;0;4942278;Crystalis Broadcasting;Jermicus;19h 7m 21s ;68841.83
NPC;+STOCK;96;9;1600447;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;-LOCAL;0;0;5252188;Crystalis Broadcasting;Jermicus;20h 3m 35s ;72215.7
NPC;BAL;87;-9;1615468;Biomate University;Void Starcross;22h 13m 8s ;79988.3
