// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Holosynth Industries
STATION;type;Scientific Analysis Facility
STATION;owner;Enolindo Yelbo
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;5
STATION;icon;ad_image_5.png
STATION;filename;sector_17_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-4-6-3-5-0-2-5-3-4-0-4-9-2-2-1-7-5-2-2-90
STATION;interior_seed;3-1-30-5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.52;npc_ship_data_(recon_escort_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;4;1.80;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.16;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;2x240;10952;76479.86
BUYORDER;Market Items Req: (1) Items ;2x362;10968;55431.18
SELLORDER;Sell Order Request for (1) Items ;2439x249;109803;106050.20
SELLORDER;Sale Request Order: (3) Items ;116x35,217x12,353x12;5358;48015.13
ITEM;1074;38;0.71;0
ITEM;1060;1;1.11;0
ITEM;1114;3;0.93;0
ITEM;1026;12;0.99;0
ITEM;1062;5;0.89;7004.536
ITEM;1170;38;1.00;7004.536
ITEM;1064;6;0.55;7004.536
ITEM;1009;37;0.96;7004.536
ITEM;1152;21;1.21;10425.48
ITEM;1102;26;0.96;10425.48
ITEM;1460;5;1.23;10425.48
ITEM;1123;23;0.60;10425.48
ITEM;1059;20;0.93;10425.48
ITEM;1200;40;0.60;10425.48
ITEM;1161;37;0.75;3317.621
ITEM;1450;30;1.09;3317.621
ITEM;1300;18;1.05;12811.83
ITEM;1401;7;0.85;12811.83
ITEM;1001;28;0.61;12811.83
ITEM;1008;47;0.94;12811.83
ITEM;1113;36;1.15;12811.83
ITEM;1054;47;0.82;12811.83
ITEM;1007;11;0.47;865.6759
ITEM;1400;44;1.22;865.6759
ITEM;1772;16;1.06;9143.152
ITEM;1571;15;0.62;9143.152
ITEM;1583;24;1.03;131554.4
ITEM;1534;10;1.15;131554.4
ITEM;1561;6;0.65;131554.4
ITEM;1778;11;1.09;131554.4
ITEM;1765;36;1.15;131554.4
ITEM;1754;26;1.23;131554.4
ITEM;1776;47;0.83;131554.4
ITEM;1520;14;1.16;131554.4
ITEM;1584;55;0.60;131554.4
ITEM;1731;10;0.75;2373.591
ITEM;1574;16;0.55;168911
ITEM;1630;15;1.16;168911
ITEM;1775;26;1.04;168911
ITEM;1654;37;0.84;168911
ITEM;1530;15;1.09;168911
ITEM;1550;37;0.98;168911
ITEM;1732;14;1.01;168911
ITEM;1701;35;1.22;168911
ITEM;1581;6;1.06;168911
ITEM;1620;6;1.17;1665.092
ITEM;1572;26;1.00;1665.092
ITEM;1616;10;1.28;1665.092
ITEM;1622;4;0.67;1665.092
ITEM;2115;38;1.09;81.73588
ITEM;2114;1601;0.55;81.73588
ITEM;61;191;0.64;81.73588
ITEM;2119;105;0.65;81.73588
ITEM;2130;102;0.57;81.73588
ITEM;2131;232;1.18;81.73588
ITEM;52;152;0.86;81.73588
ITEM;62;113;0.76;87.87608
ITEM;50;94;0.65;87.87608
ITEM;2120;87;0.70;87.87608
ITEM;2116;197;0.59;87.87608
ITEM;41;127;1.08;87.87608
ITEM;53;148;0.67;31.05686
ITEM;2122;1;1.00;31.05686
ITEM;2118;226;0.97;31.05686
ITEM;2128;249;1.03;31.05686
ITEM;60;1;1.10;31.05686
ITEM;2125;55;0.80;31.05686
ITEM;51;153;0.90;27.40089
ITEM;76;235;0.74;27.40089
ITEM;75;2143;1.14;27.40089
ITEM;2117;54;0.69;27.40089
ITEM;2126;174;0.53;28.19584
ITEM;711;45;0.94;20285.16
ITEM;679;75;0.83;20285.16
ITEM;692;78;1.00;20285.16
ITEM;731;32;0.58;20285.16
ITEM;677;87;0.68;20285.16
ITEM;725;36;1.21;20285.16
ITEM;736;72;0.85;20285.16
ITEM;743;44;1.07;20285.16
ITEM;756;64;1.22;20285.16
ITEM;700;3;1.06;4659.836
ITEM;757;69;0.76;4659.836
ITEM;712;82;0.55;63178.36
ITEM;745;3;0.66;63178.36
ITEM;702;97;1.03;63178.36
ITEM;721;39;0.97;63178.36
ITEM;752;41;0.80;63178.36
ITEM;737;91;0.59;63178.36
ITEM;671;5;0.74;63178.36
ITEM;748;47;0.56;70980.42
ITEM;740;81;0.82;70980.42
ITEM;750;2;1.08;14149.7
