// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quah Relay Station
STATION;type;Data Relay Station
STATION;owner;Xigee Jagvis
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;1
STATION;icon;quah.png
STATION;filename;sector_29_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-1-6-7-3-9-1-3-6-2-0-90
STATION;interior_seed;4-8-0-4
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.40;npc_ship_data_(support_escort_1).txt
MERC;6;0.64;npc_ship_data_(battle_carrier_1).txt
MERC;5;1.32;npc_ship_data_(transport_cruiser_1).txt
MERC;5;1.40;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;320x110,323x416;27690;97922.74
BUYORDER;Market Shortage: (1) Items ;323x1092;53440;145041.80
SELLORDER;Looking to Sell (1) Items ;321x87;20914;128931.50
BUYORDER;Market Items Req: (2) Items ;325x354,324x890;66795;117491.20
BUYORDER;Market Demands: (1) Items ;321x736;232810;107643.60
BUYORDER;Market Low Inventory: (2) Items ;320x148,320x429;22191;108085.60
BUYORDER;Market Shortage: (1) Items ;323x732;31513;89509.67
BUYORDER;Market Demands: (2) Items ;320x772,325x685;56721;74234.67
BUYORDER;Market Shortage: (2) Items ;322x280,322x548;262525;127192.60
BUYORDER;Market Shortage: (3) Items ;323x420,322x160,325x405;86879;131040.60
BUYORDER;Want to acquire (1) Items ;2404x11;28466;27369.41
BUYORDER;Market Out of Stock: (2) Items ;321x183,325x34;41687;52186.82
BUYORDER;Market Shortage: (2) Items ;324x82,323x17;5495;81472.53
ITEM;1470;1;0.78;0
ITEM;1003;8;0.87;0
ITEM;1120;9;0.83;0
ITEM;1110;0;0.62;0
ITEM;1002;7;0.65;0
ITEM;1050;10;1.24;2327.043
ITEM;1054;9;0.57;2327.043
ITEM;1001;6;0.71;2327.043
ITEM;1100;1;0.62;2327.043
ITEM;1170;1;1.17;2327.043
ITEM;1460;0;0.52;2327.043
ITEM;1160;3;1.23;2327.043
ITEM;1200;0;0.50;2327.043
ITEM;1150;8;1.16;2327.043
ITEM;1550;3;0.99;2327.043
ITEM;1600;2;0.66;2327.043
ITEM;1530;2;0.74;2327.043
ITEM;1615;0;0.88;2327.043
ITEM;1510;12;1.24;6329.334
ITEM;1640;0;0.66;6329.334
ITEM;1630;12;1.04;5791.417
ITEM;1580;8;1.14;5791.417
ITEM;1610;8;0.78;5791.417
ITEM;1540;4;0.67;5791.417
ITEM;1650;1;0.81;5791.417
ITEM;1500;7;0.93;5791.417
ITEM;1520;6;0.99;5791.417
ITEM;1570;5;0.54;5791.417
ITEM;1590;9;1.06;5791.417
ITEM;1560;4;0.79;5791.417
ITEM;1750;2;0.81;5791.417
ITEM;1620;14;0.93;1282.253
ITEM;75;2200;0.96;104.2598
ITEM;2127;20;0.85;104.2598
ITEM;2130;24;0.79;104.2598
ITEM;2114;2;1.06;104.2598
ITEM;51;46;0.58;104.2598
ITEM;2123;34;0.80;104.2598
ITEM;2122;1325;0.74;413.8227
ITEM;2651;28;1.12;413.8227
ITEM;2121;2468;0.84;375.9386
ITEM;2652;20;0.92;375.9386
ITEM;53;1832;1.19;61.68814
ITEM;78;0;0.98;61.68814
ITEM;76;17;1.14;61.68814
ITEM;70;1820;0.97;6.202056
ITEM;2116;6;0.97;6.202056
ITEM;60;38;1.02;6.202056
ITEM;2120;2319;0.95;331.6641
ITEM;2117;49;0.88;331.6641
ITEM;52;1750;1.22;50.92381
ITEM;745;12;0.61;50.92381
ITEM;681;15;0.58;50.92381
ITEM;700;19;0.65;2590.578
ITEM;748;18;0.82;2590.578
ITEM;693;15;0.95;2590.578
ITEM;729;10;0.51;2590.578
ITEM;744;10;1.23;2590.578
ITEM;670;32;1.02;106573.9
ITEM;703;1;1.16;106573.9
ITEM;732;1;0.64;106573.9
ITEM;673;18;1.06;106573.9
ITEM;677;0;1.18;106573.9
ITEM;750;5;0.52;106573.9
ITEM;692;18;0.94;106573.9
