// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Stinkfinger
STATION;type;Headquarters
STATION;owner;Restimeslom Lelaseno
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;stinkfinger.png
STATION;filename;sector_86_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-4-2-3-4-0-3-7-2-6-1-5-0-0-2-1-2-5-1-0-0
STATION;interior_seed;5-8-45-1
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.84;npc_ship_data_(transport_utility_1).txt
MERC;2;1.46;npc_ship_data_(battle_utility_1).txt
MERC;7;1.73;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;218x593,210x283;275592;135083.50
BUYORDER;Market Shortage: (3) Items ;212x755,211x621,212x122;133237;109101.30
BUYORDER;Market Demands: (3) Items ;209x685,211x568,216x678;381623;134662.70
BUYORDER;Market Shortage: (3) Items ;218x279,216x491,211x341;298229;97044.20
BUYORDER;Market Out of Stock: (1) Items ;210x81;9447;86676.20
BUYORDER;Market Needs Goods: (2) Items ;209x695,218x425;239279;63240.48
BUYORDER;Market Items Req: (2) Items ;211x162,216x180;56698;71047.48
BUYORDER;Wanted (1) Items ;330x2741;164842;117309.20

BUYORDER;Market Shortage: (1) Items ;209x505;71341;79436.77
BUYORDER;Market Items Req: (2) Items ;213x521,213x584;197329;112730.80
ITEM;1069;50;0.78;0
ITEM;1154;37;1.21;0
ITEM;1461;55;1.23;0
ITEM;1059;51;0.61;0
ITEM;1015;23;0.94;0
ITEM;1004;20;0.82;0
ITEM;1210;26;0.80;0
ITEM;1163;39;0.78;14721.86
ITEM;1174;59;0.65;14721.86
ITEM;1201;33;0.61;14721.86
ITEM;1151;12;0.79;14721.86
ITEM;1025;12;1.21;14721.86
ITEM;1051;19;0.88;51893.94
ITEM;1114;56;0.53;51893.94
ITEM;1115;43;0.79;16851.11
ITEM;1112;17;0.73;16851.11
ITEM;1405;25;0.70;103640.5
ITEM;1052;40;0.81;1615.132
ITEM;1123;49;0.90;1615.132
ITEM;1113;33;0.63;1615.132
ITEM;1450;46;0.63;1615.132
ITEM;1003;40;1.03;1615.132
ITEM;1171;56;0.61;1615.132
ITEM;1075;17;0.82;1615.132
ITEM;1205;8;0.62;8964.047
ITEM;1731;50;0.85;2869.466
ITEM;1772;55;0.64;2869.466
ITEM;1533;31;0.54;35596.58
ITEM;1553;4;1.06;35596.58
ITEM;1766;44;0.90;35596.58
ITEM;1514;29;1.10;35596.58
ITEM;1623;55;0.98;35596.58
ITEM;1584;51;0.90;35596.58
ITEM;1760;29;0.80;35596.58
ITEM;1501;31;1.24;35596.58
ITEM;1614;57;0.61;35596.58
ITEM;1550;20;0.59;35596.58
ITEM;1620;43;1.22;35596.58
ITEM;1523;59;0.65;35596.58
ITEM;1510;19;0.83;35596.58
ITEM;1500;14;0.71;35596.58
ITEM;1502;48;0.94;35596.58
ITEM;1650;47;1.07;35596.58
ITEM;1600;27;0.75;35596.58
ITEM;1771;25;1.24;35596.58
ITEM;1534;20;0.76;35596.58
ITEM;1721;37;1.14;35596.58
ITEM;1563;28;0.86;35596.58
ITEM;1700;59;0.91;35596.58
ITEM;1732;32;1.18;35596.58
ITEM;1712;65;1.02;3389.213
ITEM;1616;8;0.91;3389.213
ITEM;2128;94;0.74;3389.213
ITEM;2111;244;1.06;3389.213
ITEM;40;237;1.11;3389.213
ITEM;2129;198;1.20;3389.213
ITEM;52;84;0.61;3389.213
ITEM;2127;95;1.16;3389.213
ITEM;63;299;0.53;3389.213
ITEM;2126;59;1.21;3389.213
ITEM;2131;87;0.98;3389.213
ITEM;43;203;0.91;3389.213
ITEM;50;280;0.84;3389.213
ITEM;2119;54;0.99;3389.213
ITEM;2652;123;1.04;3389.213
ITEM;2130;20;0.52;3389.213
ITEM;2124;173;0.64;3389.213
ITEM;78;275;0.71;3389.213
ITEM;2123;295;1.19;3389.213
ITEM;2122;258;0.61;3389.213
ITEM;2117;194;1.13;3389.213
ITEM;2125;292;0.78;3389.213
ITEM;62;203;0.91;3389.213
ITEM;2118;129;0.77;3389.213
ITEM;2114;1937;1.11;71.45909
ITEM;2112;296;0.98;71.45909
ITEM;755;39;1.06;71.45909
ITEM;676;99;1.15;71.45909
ITEM;678;118;0.57;71.45909
ITEM;734;26;0.76;71.45909
ITEM;757;73;0.91;71.45909
ITEM;720;69;0.60;71.45909
ITEM;681;49;1.21;71.45909
ITEM;673;119;0.78;71.45909
ITEM;730;87;0.99;71.45909
ITEM;740;22;0.58;71.45909
ITEM;756;94;0.93;12333.47
ITEM;722;14;0.87;12333.47
ITEM;735;41;0.70;12333.47
ITEM;749;105;0.65;135557.8
ITEM;728;50;0.78;135557.8
ITEM;747;78;0.96;135557.8
ITEM;733;20;1.21;135557.8
ITEM;750;50;0.55;135557.8
ITEM;710;26;0.64;135557.8
ITEM;711;27;0.98;135557.8
ITEM;741;110;0.81;135557.8
ITEM;723;100;0.97;135557.8
ITEM;744;82;0.83;180557.8
ITEM;703;4;1.02;180557.8
ITEM;671;58;0.57;180557.8
ITEM;712;83;0.58;180557.8
ITEM;753;90;1.13;168668.2
ITEM;759;103;1.05;155468.1
ITEM;693;34;1.03;155468.1
ITEM;672;23;1.24;155468.1
ITEM;760;41;1.27;155468.1
ITEM;690;83;1.19;155468.1
ITEM;758;63;0.65;155468.1
ITEM;726;61;0.70;155468.1
ITEM;745;54;0.62;155468.1
ITEM;622;19;0.70;155468.1
ITEM;645;16;0.62;155468.1
ITEM;664;1;1.04;155468.1
ITEM;665;5;0.61;155468.1
ITEM;641;28;0.62;155468.1
ITEM;621;10;0.99;155468.1
ITEM;620;17;0.97;155468.1
ITEM;602;13;0.86;155468.1
ITEM;663;10;0.70;155468.1
ITEM;640;17;0.64;155468.1
ITEM;624;5;1.23;155468.1
ITEM;662;26;0.65;155468.1
ITEM;642;24;1.08;155468.1
ITEM;600;10;0.62;155468.1
ITEM;623;29;0.73;155468.1
ITEM;605;2;0.96;155468.1
