// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;PharmaLife
STATION;type;Distribution Warehouse
STATION;owner;Fura Geegacie
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;ad_image_10.png
STATION;filename;sector_23_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-3-0-6-4-0-9-1-4-1-3-1-1-5-4-1-1-1-2-7-3-9-90
STATION;interior_seed;5-0-45-2
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.97;npc_ship_data_(battle_carrier_1).txt
MERC;8;1.89;npc_ship_data_(pirate_utility_1).txt
MERC;4;1.77;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;20x969;174013;131010.80
BUYORDER;Market Shortage: (1) Items ;20x371;66444;68781.45
BUYORDER;Market Shortage: (2) Items ;22x198,22x214;184925;66761.45
BUYORDER;Market Shortage: (2) Items ;24x32,20x94;60089;55806.82
BUYORDER;Market Out of Stock: (2) Items ;20x23,21x36;14430;56461.03

ITEM;1151;40;1.00;4245.605
ITEM;1055;7;0.80;4245.605
ITEM;1101;19;0.66;4245.605
ITEM;1171;23;0.75;4245.605
ITEM;1470;28;0.96;4245.605
ITEM;1172;32;0.59;5294.82
ITEM;1015;29;0.67;5294.82
ITEM;1110;18;0.59;5294.82
ITEM;1009;4;1.06;5294.82
ITEM;1402;16;1.09;5294.82
ITEM;1112;28;1.09;5294.82
ITEM;1054;34;0.88;5294.82
ITEM;1111;25;0.84;5294.82
ITEM;1052;27;1.10;5294.82
ITEM;1460;36;1.10;5294.82
ITEM;1300;16;1.22;5294.82
ITEM;1100;37;0.97;5294.82
ITEM;1201;8;0.97;5294.82
ITEM;1152;19;0.99;5294.82
ITEM;1450;11;1.21;5294.82
ITEM;1641;11;1.20;5294.82
ITEM;1590;33;0.90;5294.82
ITEM;1617;12;1.03;5294.82
ITEM;1520;21;0.88;5294.82
ITEM;1572;23;0.87;14868.12
ITEM;1502;13;0.64;5124.919
ITEM;1720;10;1.22;5124.919
ITEM;1620;38;1.11;5124.919
ITEM;1570;37;0.71;5124.919
ITEM;1510;19;0.98;5124.919
ITEM;1542;21;0.91;5124.919
ITEM;1591;28;0.85;2503.276
ITEM;1652;20;0.78;2503.276
ITEM;1552;6;1.06;2503.276
ITEM;1500;34;0.59;2503.276
ITEM;1512;36;0.53;2503.276
ITEM;1571;15;0.65;2503.276
ITEM;1501;23;0.98;2503.276
ITEM;1531;20;0.86;2503.276
ITEM;1602;23;0.58;5671.968
ITEM;75;3746;1.24;5671.968
ITEM;2120;147;0.67;5671.968
ITEM;50;141;1.18;5671.968
ITEM;2125;2225;0.70;5671.968
ITEM;2126;75;0.74;5671.968
ITEM;2124;116;0.53;5671.968
ITEM;70;2046;0.97;5671.968
ITEM;61;4234;1.14;5671.968
ITEM;2113;1812;0.72;5671.968
ITEM;43;1939;0.70;19.08937
ITEM;62;54;1.18;19.08937
ITEM;40;2398;0.91;11.41382
ITEM;2131;82;0.85;11.41382
ITEM;2114;1940;1.15;72.47289
ITEM;2651;4110;1.04;72.47289
ITEM;2123;22;0.76;72.47289
ITEM;2122;1568;1.04;72.47289
ITEM;2116;4401;0.65;51.95487
ITEM;2115;1767;1.23;51.95487
ITEM;738;51;1.07;51.95487
ITEM;753;63;0.73;98414.26
ITEM;721;42;0.66;98414.26
ITEM;678;37;0.93;98414.26
ITEM;727;61;1.11;98414.26
ITEM;692;64;0.62;98414.26
ITEM;746;28;1.03;98414.26
ITEM;728;58;0.76;98414.26
ITEM;744;68;0.92;98414.26
ITEM;735;36;0.54;98414.26
ITEM;711;6;0.82;98414.26
ITEM;674;23;0.95;98414.26
ITEM;759;28;0.68;98414.26
ITEM;756;73;1.08;98414.26
ITEM;676;32;1.21;98414.26
ITEM;745;56;0.73;98414.26
ITEM;691;15;0.65;98414.26
ITEM;679;78;0.88;108235.3
ITEM;681;69;1.24;160435.3
ITEM;757;59;0.71;160435.3
ITEM;732;18;0.96;160435.3
ITEM;671;70;0.63;160435.3
ITEM;747;16;0.53;160435.3
ITEM;670;27;1.25;160435.3
ITEM;712;63;0.75;92467.5
ITEM;621;7;1.07;92467.5
ITEM;601;4;0.83;92467.5
ITEM;640;15;1.02;92467.5
ITEM;600;11;1.20;92467.5
