// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Imperium Republica 
STATION;type;Civil Housing Facility
STATION;owner;Fonmi Duemelze
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_7.png
STATION;filename;sector_14_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-3-7-0-7-1-0-3-0-2-5-1-2-0-4-9-0-8-0
STATION;interior_seed;3-4-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;62281.67
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.72;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.96;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;1x645;17312;85450.90

BUYORDER;Market Low Inventory: (2) Items ;6x71,8x102;101180;90520.34
ITEM;1007;57;0.90;1997.101
ITEM;1059;78;0.63;2540.39
ITEM;1115;69;1.07;2540.39
ITEM;1065;55;1.11;2540.39
ITEM;1004;15;0.50;2540.39
ITEM;1052;50;1.19;2433.666
ITEM;1200;48;0.78;2433.666
ITEM;1055;67;0.52;2433.666
ITEM;1100;42;1.17;2433.666
ITEM;1009;57;0.63;2433.666
ITEM;1021;49;1.08;2433.666
ITEM;1064;33;0.83;2433.666
ITEM;1405;25;0.77;111670.2
ITEM;1014;21;1.07;111670.2
ITEM;1403;21;1.06;111670.2
ITEM;1476;39;0.85;111670.2
ITEM;1002;39;1.18;111670.2
ITEM;1471;63;1.19;111670.2
ITEM;1104;17;0.70;111670.2
ITEM;1113;11;0.71;3642.128
ITEM;1155;33;0.70;3642.128
ITEM;1151;27;0.49;3642.128
ITEM;1067;16;1.05;16893.33
ITEM;1025;55;0.59;16893.33
ITEM;1075;5;0.53;16893.33
ITEM;1554;47;1.07;16893.33
ITEM;1504;8;1.00;16893.33
ITEM;1521;40;0.78;1706.877
ITEM;1766;41;0.85;1706.877
ITEM;1778;9;0.84;1706.877
ITEM;1613;15;1.16;52662.34
ITEM;1550;70;1.04;3076.06
ITEM;1619;54;0.89;3076.06
ITEM;1777;61;0.71;3076.06
ITEM;1551;49;0.61;3076.06
ITEM;1602;37;0.60;5947.222
ITEM;1501;57;1.21;5947.222
ITEM;1512;35;1.03;34863.59
ITEM;1604;12;0.88;34863.59
ITEM;1582;48;0.57;15867.32
ITEM;1620;45;1.18;15867.32
ITEM;1652;39;0.87;15867.32
ITEM;1524;19;0.54;15867.32
ITEM;1624;55;0.49;15867.32
ITEM;1581;7;1.20;15867.32
ITEM;1570;44;0.61;15867.32
ITEM;1510;51;1.20;6100.863
ITEM;1712;57;0.84;6100.863
ITEM;1634;22;0.49;6100.863
ITEM;1584;57;0.95;6100.863
ITEM;40;22;1.11;6100.863
ITEM;51;2506;1.11;6100.863
ITEM;2129;1793;0.72;6100.863
ITEM;60;40;0.92;6100.863
ITEM;2111;254;0.57;6100.863
ITEM;2126;293;0.97;6100.863
ITEM;2116;189;1.24;6100.863
ITEM;2120;3308;0.48;141.1261
ITEM;2650;135;0.69;141.1261
ITEM;43;2087;1.04;141.1261
ITEM;2112;1806;1.23;55.12541
ITEM;2122;265;1.21;55.12541
ITEM;2121;8;0.95;55.12541
ITEM;70;2007;0.59;55.12541
ITEM;2118;276;1.03;55.12541
ITEM;2127;78;1.05;55.12541
ITEM;62;103;0.59;55.12541
ITEM;61;167;1.07;55.12541
ITEM;2131;24;0.84;55.12541
ITEM;42;10;0.60;55.12541
ITEM;78;254;0.81;55.12541
ITEM;2115;230;0.82;55.12541
ITEM;53;3767;0.79;55.12541
ITEM;2125;134;0.71;55.12541
ITEM;2114;2234;1.15;55.12541
ITEM;2128;1784;0.79;55.12541
ITEM;2119;4526;0.57;55.12541
ITEM;676;53;0.80;55.12541
ITEM;758;90;0.51;55.12541
ITEM;728;58;0.64;55.12541
ITEM;730;116;0.71;55.12541
ITEM;750;67;1.03;55.12541
ITEM;712;84;0.91;55.12541
ITEM;737;25;1.09;55.12541
ITEM;745;83;0.86;55.12541
ITEM;738;30;0.47;55.12541
ITEM;670;5;0.76;55.12541
ITEM;680;44;0.88;55.12541
ITEM;735;62;1.17;55.12541
ITEM;748;46;0.71;55.12541
ITEM;690;87;1.04;55.12541
ITEM;701;104;0.99;55.12541
ITEM;729;85;0.85;55.12541
ITEM;720;54;0.96;55.12541
ITEM;740;8;0.62;55.12541
ITEM;752;69;1.11;55.12541
ITEM;733;11;1.05;55.12541
ITEM;731;40;0.84;116839.1
ITEM;747;120;1.11;97811.56
ITEM;672;42;0.52;97811.56
ITEM;742;84;1.05;97811.56
ITEM;760;54;0.84;97811.56
ITEM;751;97;0.75;27815.2
ITEM;710;46;1.20;27815.2
ITEM;756;42;0.71;27815.2
ITEM;736;81;0.77;27815.2
ITEM;678;89;1.09;27815.2
ITEM;624;10;0.56;27815.2
ITEM;660;23;1.02;27815.2
ITEM;644;18;0.51;27815.2
ITEM;622;26;0.56;27815.2
ITEM;623;21;0.55;27815.2
ITEM;621;27;1.25;27815.2
ITEM;602;18;1.02;27815.2
ITEM;603;27;0.81;27815.2
ITEM;605;6;0.95;27815.2
ITEM;600;5;0.96;27815.2
ITEM;641;31;0.88;27815.2
ITEM;620;16;0.54;27815.2
ITEM;664;10;0.58;27815.2
ITEM;601;14;0.66;27815.2
ITEM;604;27;1.10;27815.2
ITEM;665;9;0.89;27815.2
ITEM;640;25;0.62;27815.2
ITEM;663;4;0.53;27815.2
ITEM;643;8;1.13;27815.2
ITEM;662;28;0.52;27815.2
ITEM;625;11;0.62;27815.2
ITEM;642;24;1.17;27815.2
ITEM;661;9;0.71;27815.2
ITEM;645;6;0.97;27815.2
ITEM;322;27;1.05;27815.2
ITEM;405;765;0.58;13.89158
ITEM;408;58;1.21;13.89158
ITEM;406;1233;0.77;19.78158
ITEM;312;1186;0.61;35.76305
ITEM;301;977;1.13;35.76305
ITEM;300;852;1.04;35.76305
ITEM;407;2408;0.91;335.3678
ITEM;304;1728;1.04;335.3678
ITEM;320;41;0.76;335.3678
ITEM;343;1634;1.19;335.3678
