// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Acrondia Hub
STATION;type;Organization Center
STATION;owner;Bidbruei Lowtibem
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;2
STATION;icon;acrondia.png
STATION;filename;sector_95_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-7-4-3-3-0-3-0-2-0-0
STATION;interior_seed;3-1-0-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;90459.06
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.68;npc_ship_data_(excavation_escort_1).txt
MERC;7;0.99;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;4x290;44910.00;115714.80
BUYORDER;Market Out of Stock: (3) Items ;4x135,4x304,5x602;144984.00;154842.90
ITEM;1;1864;1.05;18.75
ITEM;52;89;0.63;24.23
ITEM;641;8;0.60;4877.03
ITEM;2439;4;0.72;273.47
ITEM;302;18;1.07;54.30
ITEM;2131;72;0.76;116.98
ITEM;1057;1;1.03;4221.43
ITEM;153;150;0.25;1.72
ITEM;167;148;0.91;69.08
ITEM;169;105;0.95;79.92
ITEM;2445;17;0.62;581.32
ITEM;40;20;0.50;5.70
ITEM;1620;9;0.61;799.61
ITEM;1750;11;1.09;2081.24
ITEM;1640;7;1.07;6107.66
ITEM;1580;4;0.93;4454.19
ITEM;1510;13;1.02;5184.62
ITEM;2269;17;0.54;29315.63
ITEM;620;8;1.07;4788.52
ITEM;1630;8;1.10;6298.98
ITEM;2284;11;0.84;9813.80
ITEM;2406;14;1.01;538.62
ITEM;1600;18;1.14;1216.90
ITEM;2289;8;0.79;27547.28
ITEM;1560;12;0.52;519.41
ITEM;1500;7;0.85;869.90
ITEM;8;0;2.50;1790.78
ITEM;1110;1;0.72;607.70
ITEM;2170;5;1.22;13292.44
ITEM;1111;9;0.83;1363.64
ITEM;729;31;0.75;9565.55
ITEM;406;2;0.63;16.05
ITEM;403;15;0.98;19.96
ITEM;101;205;0.60;0.37
ITEM;168;150;0.25;7.59
ITEM;404;17;0.89;19.44
ITEM;300;18;0.75;39.67
ITEM;301;4;0.94;114.97
ITEM;661;9;0.89;7777.03
ITEM;63;15;0.60;97.54
ITEM;660;3;0.89;3888.52
ITEM;7;0;2.50;1104.31
ITEM;1020;12;0.25;1377.03
ITEM;1021;12;0.25;1211.79
ITEM;1019;12;0.25;1432.11
ITEM;151;135;0.51;4.97
ITEM;1120;18;0.98;1214.78
ITEM;1121;15;0.55;1181.80
ITEM;62;78;1.08;135.48
ITEM;1001;12;0.25;179.01
ITEM;1003;12;0.25;151.47
ITEM;1002;12;0.25;165.24
ITEM;2;3321;1.05;32.82
ITEM;405;8;0.51;12.33
ITEM;1025;12;0.25;2864.23
ITEM;1027;12;0.25;2423.58
ITEM;1026;12;0.25;2754.06
ITEM;753;26;0.87;125021.00
ITEM;102;32;0.94;2.07
ITEM;1621;10;0.56;1779.04
ITEM;2330;13;0.85;35176.64
ITEM;1531;19;1.00;4471.10
ITEM;741;18;0.66;24646.64
ITEM;746;18;0.52;18346.64
ITEM;1751;10;0.78;6551.77
ITEM;2362;1;1.12;118656.00
ITEM;1511;16;0.59;5795.35
ITEM;2345;5;0.88;124509.20
ITEM;621;9;1.21;10977.03
ITEM;1631;9;0.53;5645.38
ITEM;2285;10;0.54;13390.10
ITEM;1616;17;1.22;6182.87
ITEM;1561;9;0.88;2469.70
ITEM;1501;15;0.62;1265.65
ITEM;1591;18;0.99;3066.70
ITEM;1170;16;0.96;2458.34
ITEM;20;81;0.60;47.79
ITEM;2387;3;0.89;195.20
ITEM;1009;12;0.29;390.95
ITEM;1008;12;0.25;344.26
ITEM;2101;12;1.20;32631.10
ITEM;1007;11;0.44;852.03
ITEM;304;18;0.80;94.22
ITEM;677;2;0.85;158606.20
ITEM;758;32;0.67;55770.32
ITEM;691;23;1.08;29031.10
ITEM;1460;7;0.99;48273.67
ITEM;158;150;0.25;6.24
ITEM;2434;4;1.18;580.83
ITEM;4;1627;1.05;110.18
ITEM;155;44;0.79;15.11
ITEM;104;107;0.78;1.80
ITEM;166;70;1.10;74.28
ITEM;672;22;1.16;220017.70
ITEM;674;21;1.25;147901.40
ITEM;711;28;0.64;13192.58
ITEM;157;150;0.25;5.91
ITEM;160;28;1.08;24.19
ITEM;601;9;0.80;6877.03
ITEM;150;150;0.25;1.57
ITEM;303;18;0.52;34.41
ITEM;1201;11;0.97;7290.48
ITEM;407;7;1.03;395.53
ITEM;103;206;1.06;0.87
ITEM;6;0;2.50;731.23
ITEM;1161;11;0.53;2255.60
ITEM;600;2;0.76;3238.52
ITEM;2117;6;0.79;182.98
ITEM;1150;5;1.20;2719.26
ITEM;2190;7;0.80;20631.09
ITEM;1151;12;1.16;5133.75
ITEM;1100;11;0.55;218.85
ITEM;1013;12;0.25;716.06
ITEM;1014;12;0.39;1388.52
ITEM;1015;12;0.25;605.89
ITEM;3;0;2.50;155.20
ITEM;164;109;0.82;16.14
ITEM;114;188;1.07;2.01
ITEM;2240;1;0.82;46708.41
ITEM;21;129;1.16;209.54
ITEM;721;24;0.98;5206.22
ITEM;720;1;1.10;5926.22
ITEM;723;23;0.94;4966.22
ITEM;159;158;0.52;23.52
ITEM;2441;5;0.81;482.81
ITEM;1450;8;0.86;3738.52
ITEM;152;73;0.47;4.40
ITEM;156;150;0.25;4.56
ITEM;2432;3;0.66;217.44
ITEM;1059;17;1.09;4986.29
ITEM;640;3;0.73;3088.52
ITEM;162;186;1.05;24.29
ITEM;2438;5;1.15;322.73
ITEM;744;37;0.91;199425.80
ITEM;749;18;0.58;116925.80
ITEM;734;34;0.86;186925.80
ITEM;754;34;0.58;116925.80
ITEM;5;0;2.50;456.65
ITEM;76;10;0.55;76.60
ITEM;2417;16;1.18;2242.18
ITEM;2121;88;0.72;322.63
ITEM;2127;19;0.65;44.74
ITEM;1300;2;0.81;9767.84
