// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mass Market
STATION;type;Market Center
STATION;owner;Bidjag Zofiejalis
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;9
STATION;icon;massmarket.png
STATION;filename;sector_69_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-1-2-0-2-0-4-9-3-9-1-2-6-1-9-0
STATION;interior_seed;5-9-45-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;0.69;npc_ship_data_(excavation_carrier_1).txt
MERC;3;1.88;npc_ship_data_(pirate_frigate_1).txt
MERC;2;0.88;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;163x707;33002;151157.70
BUYORDER;Market Shortage: (4) Items ;169x973,160x389,163x877,162x861;265520;120328.90
BUYORDER;Market Items Req: (2) Items ;169x618,169x721;242885;76585.90
SELLORDER;Market Stock: (1) Items ;157x444;5003;119418.00

BUYORDER;Market Needs Goods: (2) Items ;154x276,160x93;15917;21105.28
BUYORDER;Market Items Req: (3) Items ;154x364,165x201,169x301;123841;49134.73
BUYORDER;Market Items Req: (3) Items ;161x230,163x46,154x256;24324;58274.94
BUYORDER;Market Shortage: (3) Items ;154x150,154x277,161x243;58721;37656.94
BUYORDER;Market Low Inventory: (2) Items ;169x91,154x155;22781;72292.87
BUYORDER;Market Items Req: (2) Items ;163x143,154x127;21774;47411.87
SELLORDER;Market Inventory: (1) Items ;157x65;1543;76345.08
ITEM;1166;50;1.25;194283
ITEM;1470;16;1.23;67493.4
ITEM;1060;29;0.54;3341.58
ITEM;1065;28;0.54;3341.58
ITEM;1010;55;0.51;29294.23
ITEM;1210;36;0.80;29294.23
ITEM;1201;21;1.11;29294.23
ITEM;1155;25;0.72;29294.23
ITEM;1072;53;0.71;29294.23
ITEM;1161;47;0.93;29294.23
ITEM;1125;7;0.66;21488.87
ITEM;1075;21;1.16;83276.3
ITEM;1112;56;0.88;2006.257
ITEM;1018;7;1.23;153312
ITEM;1066;39;0.76;153312
ITEM;1300;59;0.56;5876.555
ITEM;1026;30;0.67;10615.06
ITEM;1009;78;1.01;1917.527
ITEM;1154;80;0.65;19739.44
ITEM;1115;23;0.83;17086.51
ITEM;1405;19;0.53;17086.51
ITEM;1013;33;1.02;17086.51
ITEM;1057;62;0.72;2639.747
ITEM;1401;52;0.90;2639.747
ITEM;1157;27;0.61;2639.747
ITEM;1164;5;1.19;41646.65
ITEM;1156;24;0.54;41646.65
ITEM;1170;87;0.66;41646.65
ITEM;1007;28;0.97;2161.813
ITEM;1116;10;0.72;2161.813
ITEM;1450;91;1.15;5022.284
ITEM;1205;58;1.06;5022.284
ITEM;1461;25;0.53;5022.284
ITEM;1775;18;1.13;9706.458
ITEM;1540;43;0.63;548.7584
ITEM;1651;25;0.55;5562.663
ITEM;1781;22;0.92;5562.663
ITEM;1562;21;0.86;9155.902
ITEM;1503;52;1.07;38616.14
ITEM;1534;32;0.58;179030.7
ITEM;1544;54;0.62;179030.7
ITEM;1580;22;1.22;5884.398
ITEM;1619;34;1.22;429932.5
ITEM;1720;59;1.18;3868.042
ITEM;1634;76;1.14;970415.6
ITEM;1532;9;0.58;970415.6
ITEM;1702;83;0.77;1897.605
ITEM;1777;67;1.14;9812.928
ITEM;1542;95;0.70;6586.377
ITEM;1700;84;0.86;6586.377
ITEM;1620;87;0.68;857.4806
ITEM;1522;55;0.71;5240.585
ITEM;1572;30;1.13;19993.09
ITEM;1561;32;1.15;3252.463
ITEM;1541;19;0.50;3252.463
ITEM;1533;52;0.79;52991.74
ITEM;1614;27;1.18;266923.3
ITEM;1623;40;1.28;82020.91
ITEM;1642;70;0.60;21313.13
ITEM;1653;46;0.84;134612.8
ITEM;2111;1555;0.79;26.97258
ITEM;2125;197;0.58;566.4835
ITEM;2130;2575;0.65;566.4835
ITEM;41;2524;0.62;9.982881
ITEM;76;408;0.90;132.5193
ITEM;53;2449;0.98;132.5193
ITEM;2116;2578;0.64;132.5193
ITEM;2131;104;1.14;180.7697
ITEM;2651;2405;1.02;569.3261
ITEM;42;2625;1.02;569.3261
ITEM;2120;392;1.24;569.3261
ITEM;2113;1572;0.87;44.1837
ITEM;2114;2326;0.81;44.1837
ITEM;2127;54;1.13;44.1837
ITEM;2652;2235;0.64;379.8661
ITEM;2121;248;0.57;229.5815
ITEM;2129;40;0.86;229.5815
ITEM;43;2218;0.62;229.5815
ITEM;2119;1860;0.66;229.563
ITEM;77;65;0.86;169.5162
ITEM;2124;314;0.78;169.5162
ITEM;62;1975;1.01;169.5162
ITEM;2126;38;0.69;169.5162
ITEM;70;76;1.01;169.5162
ITEM;52;347;0.79;30.43968
ITEM;2650;2320;1.18;30.43968
ITEM;63;28;0.82;30.43968
ITEM;61;101;0.71;51.40944
ITEM;729;46;1.07;13961.68
ITEM;755;46;1.10;13961.68
ITEM;757;190;0.63;22060.32
ITEM;756;10;1.29;17191.67
ITEM;727;143;1.18;15631.95
ITEM;703;60;0.63;2434.434
ITEM;711;107;0.93;2434.434
ITEM;701;59;1.12;2434.434
ITEM;752;68;0.81;66328.48
ITEM;671;72;1.03;249547.5
ITEM;721;137;1.16;249547.5
ITEM;754;20;0.97;208046.2
ITEM;759;2;1.07;153145.6
ITEM;692;45;0.58;6995.029
ITEM;681;139;0.86;6995.029
ITEM;674;79;1.13;6995.029
ITEM;751;66;1.03;6995.029
ITEM;742;15;1.12;97795.64
ITEM;753;138;0.58;97795.64
ITEM;677;147;0.66;97795.64
ITEM;702;190;0.50;97795.64
ITEM;710;87;0.83;3418.609
ITEM;730;73;0.96;3418.609
ITEM;726;8;0.60;6845.813
ITEM;747;64;1.02;87925.52
ITEM;744;176;0.57;106206.9
ITEM;672;116;1.16;213054.4
