// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50262.46
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;340x540;54096.00;71386.20
SELLORDER;Market Surplus: (2) Items ;216x623,41x215;56381.00;122930.30
SELLORDER;Market Surplus: (1) Items ;61x346;15055.00;99982.34
BUYORDER;Market Items Req: (3) Items ;342x311,343x339,341x420;101020.00;97114.08
ITEM;1451;7;0.57;3704.70
ITEM;1;83;0.66;8.85
ITEM;42;90;0.78;17.97
ITEM;2388;4;1.07;308.19
ITEM;52;2500;0.25;6.70
ITEM;1522;13;0.97;7945.76
ITEM;2276;21;1.01;99767.69
ITEM;1752;13;0.66;19645.17
ITEM;1642;25;0.88;36299.86
ITEM;1572;12;0.64;10762.45
ITEM;622;3;0.75;11254.03
ITEM;2336;20;1.05;531385.40
ITEM;1542;20;1.14;12101.90
ITEM;61;2500;0.25;12.88
ITEM;2407;13;1.19;1169.74
ITEM;641;1;0.85;7430.88
ITEM;2316;29;1.11;152925.70
ITEM;1552;18;0.90;19120.23
ITEM;737;51;0.57;231543.80
ITEM;1502;22;1.19;10960.09
ITEM;2311;29;0.55;63432.41
ITEM;310;17;0.88;43.83
ITEM;163;64;0.80;25.99
ITEM;302;28;1.25;64.81
ITEM;2128;7;0.57;44.60
ITEM;2131;2500;0.25;25.84
ITEM;2652;35;0.77;503.95
ITEM;1062;16;1.21;10148.41
ITEM;153;200;0.78;8.41
ITEM;2429;5;0.97;129.46
ITEM;167;260;0.98;75.61
ITEM;169;121;0.89;74.71
ITEM;40;32;1.05;13.86
ITEM;2386;3;1.05;165.98
ITEM;50;51;0.69;14.34
ITEM;1520;26;0.66;692.80
ITEM;1530;27;1.08;2353.70
ITEM;2385;2;0.89;69.69
ITEM;1640;4;0.95;5376.71
ITEM;2339;26;0.61;38500.79
ITEM;1570;22;1.22;2894.14
ITEM;1580;28;1.15;5681.91
ITEM;2304;6;1.24;74065.40
ITEM;620;13;0.56;2265.44
ITEM;312;7;1.23;84.01
ITEM;2334;9;1.12;77530.57
ITEM;60;98;0.76;32.65
ITEM;1700;8;1.23;9331.17
ITEM;201;280;1.15;79.59
ITEM;2309;15;0.99;17759.77
ITEM;400;293;0.72;798.24
ITEM;208;125;0.57;66.31
ITEM;1110;21;0.70;593.09
ITEM;1111;19;1.17;2019.87
ITEM;727;5;0.56;6796.31
ITEM;311;16;1.07;69.92
ITEM;729;23;0.59;7246.31
ITEM;109;99;0.57;2.36
ITEM;406;7;0.54;13.43
ITEM;403;13;0.73;14.33
ITEM;205;255;1.17;122.79
ITEM;101;247;0.72;0.46
ITEM;168;272;1.10;54.72
ITEM;404;12;0.91;20.08
ITEM;300;26;0.80;43.11
ITEM;301;25;0.61;69.88
ITEM;2651;47;0.69;379.01
ITEM;661;7;0.50;3930.88
ITEM;218;150;0.25;27.82
ITEM;2126;133;0.89;56.23
ITEM;2129;13;0.60;58.83
ITEM;63;60;0.93;164.62
ITEM;660;8;1.00;4465.44
ITEM;2118;40;0.71;211.08
ITEM;702;3;0.51;2015.44
ITEM;2111;37;0.72;25.63
ITEM;2114;15;0.50;28.03
ITEM;151;35;0.66;6.91
ITEM;204;208;0.52;42.96
ITEM;1120;20;0.63;732.32
ITEM;1122;21;1.02;4839.36
ITEM;343;0;2.50;409.82
ITEM;341;24;1.09;94.47
ITEM;2112;135;1.04;46.84
ITEM;2115;2500;0.25;12.18
ITEM;62;53;0.65;76.03
ITEM;735;29;0.82;1782719.00
ITEM;1001;10;1.15;1356.01
ITEM;313;16;0.54;84.71
ITEM;2;172;1.04;26.13
ITEM;405;25;0.60;15.29
ITEM;602;1;1.11;17554.03
ITEM;673;10;0.61;201235.00
ITEM;743;57;0.89;129209.40
ITEM;102;390;1.19;2.71
ITEM;2650;40;1.18;579.47
ITEM;1521;1;1.09;2589.06
ITEM;2275;24;1.10;31384.54
ITEM;1751;15;0.81;6898.98
ITEM;1641;9;0.54;5853.31
ITEM;2340;24;0.85;120516.90
ITEM;2345;21;0.86;122138.80
ITEM;621;9;0.94;8330.88
ITEM;1631;8;0.63;7069.68
ITEM;1551;21;0.85;5413.10
ITEM;1611;15;0.52;1209.81
ITEM;1591;27;0.96;2980.69
ITEM;305;22;1.06;140.20
ITEM;1171;22;1.07;5585.91
ITEM;20;284;0.60;48.32
ITEM;41;112;1.16;22.01
ITEM;51;51;0.79;24.45
ITEM;2119;36;0.96;375.36
ITEM;1009;11;0.97;1898.79
ITEM;1008;25;0.81;1757.72
ITEM;2101;17;0.63;15692.63
ITEM;304;10;0.88;105.91
ITEM;747;24;1.16;105308.80
ITEM;211;52;0.72;51.19
ITEM;752;28;1.20;109308.80
ITEM;712;29;0.95;126463.10
ITEM;209;42;0.66;39.66
ITEM;701;14;0.66;2765.44
ITEM;690;39;1.16;15796.31
ITEM;158;275;1.21;49.97
ITEM;155;132;1.15;23.26
ITEM;104;54;0.59;1.30
ITEM;203;153;0.88;73.83
ITEM;2450;18;1.07;1103.70
ITEM;672;51;0.94;174948.40
ITEM;676;43;1.14;103308.80
ITEM;732;56;1.08;14596.31
ITEM;678;13;0.94;20827.19
ITEM;214;38;0.73;76.83
ITEM;157;263;0.55;19.01
ITEM;160;211;0.61;12.58
ITEM;210;150;0.25;10.97
ITEM;212;53;0.71;53.25
ITEM;601;3;0.90;7930.88
ITEM;150;13;0.76;7.45
ITEM;303;11;0.62;43.30
ITEM;342;0;2.50;68.50
ITEM;206;233;0.77;81.16
ITEM;1201;24;0.56;3851.24
ITEM;2221;23;1.11;102314.90
ITEM;1205;12;0.63;9154.03
ITEM;407;23;0.69;251.31
ITEM;103;148;1.00;0.82
ITEM;1161;27;1.24;6118.67
ITEM;2202;1;0.64;69727.84
ITEM;165;24;1.19;72.03
ITEM;118;183;1.06;5.24
ITEM;170;42;0.90;40.61
ITEM;213;40;0.71;58.68
ITEM;600;7;1.00;4465.44
ITEM;2117;49;0.82;192.53
ITEM;1150;2;0.73;1557.72
ITEM;1151;15;0.60;2416.13
ITEM;1152;16;0.86;7304.95
ITEM;1100;10;1.11;501.54
ITEM;2160;19;0.86;4518.53
ITEM;1014;11;0.74;3165.44
ITEM;2102;27;0.85;44585.25
ITEM;3;258;0.87;39.68
ITEM;43;2500;0.25;4.82
ITEM;53;54;0.78;39.24
ITEM;1055;22;0.82;2994.97
ITEM;207;213;0.64;68.02
ITEM;164;19;0.80;15.80
ITEM;154;152;1.15;48.61
