// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Communications Hub
STATION;type;Base
STATION;owner;Mastei Gorebira
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;xellon.png
STATION;filename;sector_66_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-0-1-5-2-7-1-1-3-2-6-0-5-5-2-7-90
STATION;interior_seed;5-1-45-8
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.83;npc_ship_data_(recon_escort_1).txt
MERC;1;1.83;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.58;npc_ship_data_(battle_cruiser_1).txt
MERC;8;0.50;npc_ship_data_(transport_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling: (2) Items ;324x57,1171x9;76394;119020.90
BUYORDER;Market Demands: (2) Items ;407x204,407x196;260542;65816.25
BUYORDER;Market Shortage: (2) Items ;406x424,406x194;35897;36213.48
SELLORDER;Sale Request Order: (3) Items ;159x221,204x161,1070x8;250486;83118.38

SELLORDER;Looking to Sell (1) Items ;1115x2;37071;57504.95
SELLORDER;Sell Order for: (1) Items ;2386x92;17117;14488.95
ITEM;1470;4;0.96;0
ITEM;1002;1;0.87;0
ITEM;1170;2;1.00;2490.73
ITEM;1050;9;0.77;2490.73
ITEM;1200;4;1.03;2490.73
ITEM;1052;2;1.09;2490.73
ITEM;1400;4;0.82;2490.73
ITEM;1120;6;0.81;2490.73
ITEM;1460;4;0.70;2490.73
ITEM;1100;2;0.96;2490.73
ITEM;1150;3;1.01;2176.575
ITEM;1001;6;1.23;2176.575
ITEM;1160;9;0.70;1541.454
ITEM;1003;7;0.99;934.1801
ITEM;1520;7;1.09;934.1801
ITEM;1510;8;0.56;2397.113
ITEM;1630;4;1.15;2397.113
ITEM;1560;6;0.71;2397.113
ITEM;1580;3;0.74;3274.426
ITEM;1590;7;0.58;3274.426
ITEM;1750;2;1.00;3274.426
ITEM;1615;3;0.72;3274.426
ITEM;1610;5;0.70;3274.426
ITEM;1620;5;0.85;3274.426
ITEM;1640;3;0.51;3274.426
ITEM;70;43;0.99;3274.426
ITEM;52;21;0.78;30.09753
ITEM;62;25;0.77;30.09753
ITEM;2111;34;1.09;30.09753
ITEM;53;41;1.01;50.55837
ITEM;60;15;0.97;41.45851
ITEM;2650;14;1.20;41.45851
ITEM;61;16;1.18;41.45851
ITEM;41;1;1.08;41.45851
ITEM;78;43;1.16;41.45851
ITEM;2121;39;0.95;433.1725
ITEM;2118;27;1.09;333.3254
ITEM;63;11;1.04;333.3254
ITEM;2115;22;0.86;61.77713
ITEM;2123;16;1.10;61.77713
ITEM;2652;24;1.07;61.77713
ITEM;2128;11;0.69;61.77713
ITEM;742;7;0.95;61.77713
ITEM;747;4;1.19;61.77713
ITEM;703;13;0.61;61.77713
ITEM;726;14;1.21;61.77713
ITEM;710;8;1.00;61.77713
ITEM;720;8;1.13;61.77713
