// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Psybermind
STATION;type;Private Prison
STATION;owner;Mecee Zahorewe
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;5
STATION;icon;psybermind.png
STATION;filename;sector_51_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-7-0-2-7-0-3-2-0-9-1-7-6-0-4-1-4-1-0-9-90
STATION;interior_seed;3-8-45-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.39;npc_ship_data_(excavation_frigate_1).txt
MERC;3;0.73;npc_ship_data_(support_frigate_1).txt
MERC;1;1.51;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;123x677;84666;150042.00

BUYORDER;Purchase Request (3) Items ;100x41,2024x43,404x38;40030;64083.86
BUYORDER;Market Demands: (1) Items ;23x178;252013;52248.86

SELLORDER;For Sale: (1) Items ;1622x8;112224;73143.38
SELLORDER;Selling: (1) Items ;1721x6;27148;63639.96
SELLORDER;Market Surplus: (2) Items ;320x269,325x372;11692;18772.38
SELLORDER;Market Items: (1) Items ;323x147;2949;74829.38
SELLORDER;Market Supply: (2) Items ;321x198,324x47;18232;42861.13
ITEM;1114;11;0.74;0
ITEM;1120;11;0.79;0
ITEM;1471;21;0.90;0
ITEM;1050;21;0.77;1393.519
ITEM;1002;30;1.11;1206.073
ITEM;1164;18;0.50;1206.073
ITEM;1152;15;1.19;1206.073
ITEM;1054;12;0.99;2266.315
ITEM;1112;30;0.74;2266.315
ITEM;1150;29;0.89;2266.315
ITEM;1460;23;0.82;39354
ITEM;1059;1;0.80;3562.606
ITEM;1101;35;0.69;523.0018
ITEM;1403;22;0.93;45301.8
ITEM;1008;41;1.22;45301.8
ITEM;1400;32;0.53;45301.8
ITEM;1162;3;1.24;45301.8
ITEM;1163;10;0.89;45301.8
ITEM;1021;27;1.00;7832.104
ITEM;1064;11;0.93;8442.622
ITEM;1065;13;1.24;8442.622
ITEM;1121;4;1.02;8442.622
ITEM;1644;47;0.77;8442.622
ITEM;1702;56;0.83;2204.749
ITEM;1754;28;0.58;2204.749
ITEM;1510;15;0.92;4641.367
ITEM;1594;7;0.98;212731.5
ITEM;1751;9;1.19;212731.5
ITEM;1651;23;1.21;212731.5
ITEM;1581;2;1.14;11595
ITEM;1500;23;0.88;11595
ITEM;1584;6;1.10;11595
ITEM;1640;31;0.99;5608.042
ITEM;1532;21;0.65;5608.042
ITEM;1712;16;0.73;5608.042
ITEM;1761;37;0.90;5608.042
ITEM;1604;48;0.98;5608.042
ITEM;1765;46;1.06;9368.937
ITEM;1571;29;1.15;9368.937
ITEM;1574;36;0.52;9368.937
ITEM;1730;47;0.63;9368.937
ITEM;1572;19;0.65;9368.937
ITEM;1612;27;0.89;9368.937
ITEM;78;99;0.78;205.9133
