// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Genistar
STATION;type;Deep Space Array
STATION;owner;Couue Atelow
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;1
STATION;icon;genistar.png
STATION;filename;sector_80_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-4-1-1-5-0-6-3-0-1-90
STATION;interior_seed;5-9-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;32875.45
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.93;npc_ship_data_(pirate_frigate_1).txt
MERC;9;0.76;npc_ship_data_(battle_shuttle_1).txt
MERC;6;1.49;npc_ship_data_(recon_escort_1).txt
MERC;6;1.66;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (3) Items ;325x559,320x243,324x702;85314;75288.42
BUYORDER;Market Demands: (1) Items ;325x475;23121;43520.06
BUYORDER;Market Needs Goods: (3) Items ;322x411,324x218,325x541;186534;63620.06
SELLORDER;Sell Order for: (2) Items ;1122x7,1013x7;51300.00;91718.38
BUYORDER;Market Out of Stock: (2) Items ;322x219,324x46;102189.00;81847.80
BUYORDER;Market Low Inventory: (2) Items ;325x281,321x237;90958.00;48933.28
BUYORDER;Buying: (1) Items ;1470x1;39519.00;59883.79
ITEM;1;69;0.88;0
ITEM;302;2;0.67;31.77682
ITEM;1052;2;0.74;1462.002
ITEM;153;94;1.14;1462.002
ITEM;50;17;0.53;1462.002
ITEM;1520;1;1.17;1326.464
ITEM;1620;7;0.77;1326.464
ITEM;2329;8;0.91;15436.89
ITEM;1530;4;1.10;15436.89
ITEM;2279;9;1.16;30500.66
ITEM;2385;9;1.25;30500.66
ITEM;1750;7;0.76;30500.66
ITEM;1640;8;0.72;30500.66
ITEM;1570;4;1.17;30500.66
ITEM;2299;1;0.78;30500.66
ITEM;1580;2;1.19;30500.66
ITEM;1510;5;0.58;30500.66
ITEM;1650;2;1.17;30500.66
ITEM;2344;8;1.05;30500.66
ITEM;620;3;1.19;30500.66
ITEM;1630;3;1.06;30500.66
ITEM;1540;9;0.77;747.9843
ITEM;2284;2;0.99;747.9843
ITEM;1615;1;1.04;2266.788
ITEM;2324;6;0.64;2266.788
ITEM;1600;4;0.53;2266.788
ITEM;2314;6;0.79;9615.375
ITEM;1550;2;0.99;9615.375
