// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Void Raiders
STATION;type;Headquarters
STATION;owner;Emira Zanadayi
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;voidraiders.png
STATION;filename;sector_92_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-8-0-1-8-2-1-0-1-5-1-3-1-4-8-0-3-0
STATION;interior_seed;4-2-30-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.46;npc_ship_data_(battle_escort_1).txt
MERC;5;0.58;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;216x487;97049;118414.70

BUYORDER;Market Demands: (3) Items ;214x343,218x383,215x284;188786;69927.59
SELLORDER;Sell Order Request for (2) Items ;2034x19,21x36;17779;19476.73
SELLORDER;Looking to Sell (3) Items ;208x15,2117x13,77x8;4764;56015.73
BUYORDER;Market Demands: (1) Items ;212x40;4985;16378.13
BUYORDER;Market Demands: (3) Items ;210x171,214x62,217x63;44207;50406.13
BUYORDER;Market Out of Stock: (2) Items ;209x180,215x120;61315;21161.13
BUYORDER;Market Shortage: (2) Items ;215x87,213x46;18661;29489.77
ITEM;1401;17;0.75;0
ITEM;1002;0;0.73;751.5361
ITEM;1110;8;0.68;751.5361
ITEM;1151;3;0.55;751.5361
ITEM;1055;15;1.08;751.5361
ITEM;1450;6;0.59;751.5361
ITEM;1120;18;0.76;751.5361
ITEM;1003;12;1.11;751.5361
ITEM;1300;18;1.23;15669.69
ITEM;1001;11;1.14;15669.69
ITEM;1007;8;1.19;15669.69
ITEM;1161;0;1.07;15669.69
ITEM;1009;6;0.56;15669.69
ITEM;1561;0;0.64;15669.69
ITEM;1581;13;1.18;15669.69
ITEM;1580;0;0.79;15669.69
ITEM;1600;10;0.74;15669.69
ITEM;1590;10;1.00;15669.69
ITEM;1510;10;0.61;15669.69
ITEM;1650;10;0.92;15669.69
ITEM;1501;7;0.79;15669.69
ITEM;1750;7;0.85;15669.69
ITEM;1601;9;0.95;15669.69
ITEM;1530;0;0.59;15669.69
ITEM;1616;12;0.82;15669.69
ITEM;1550;10;0.96;15669.69
ITEM;2121;0;0.77;353.7159
ITEM;2113;86;0.90;353.7159
ITEM;2119;62;0.74;353.7159
ITEM;43;0;0.64;353.7159
ITEM;2128;10;0.88;353.7159
ITEM;2114;0;0.75;46.04869
ITEM;2127;19;1.07;46.04869
ITEM;2129;34;0.87;46.04869
ITEM;2117;40;0.94;46.04869
ITEM;2120;23;0.61;202.9769
ITEM;50;36;1.11;202.9769
ITEM;2112;2;0.52;202.9769
ITEM;62;92;1.06;133.2872
ITEM;2650;22;1.12;133.2872
ITEM;674;6;1.18;133.2872
ITEM;741;16;1.23;133.2872
ITEM;747;11;0.70;133.2872
ITEM;735;20;0.78;133.2872
ITEM;759;13;1.04;133.2872
ITEM;744;5;1.25;285334.9
ITEM;670;22;0.87;91675.61
ITEM;752;29;0.61;91675.61
ITEM;731;16;0.51;91675.61
ITEM;679;32;0.68;91675.61
ITEM;712;18;0.76;97830.16
ITEM;755;14;1.25;6856.698
ITEM;733;5;0.89;6856.698
ITEM;672;3;1.10;6856.698
ITEM;730;0;0.63;6856.698
ITEM;723;29;0.83;4350.653
ITEM;620;4;0.76;4350.653
ITEM;661;3;0.94;8352.876
ITEM;600;1;0.59;2404.779
ITEM;660;6;1.00;2404.779
ITEM;641;4;0.62;5163.919
ITEM;621;1;0.65;5163.919
ITEM;640;4;0.65;5163.919
ITEM;601;8;1.23;5163.919
ITEM;404;19;0.68;5163.919
ITEM;302;4;0.53;5163.919
ITEM;301;0;0.77;91.49486
ITEM;305;4;1.12;91.49486
ITEM;300;17;1.08;91.49486
ITEM;405;5;0.57;91.49486
ITEM;304;5;0.68;91.49486
ITEM;403;9;0.52;91.49486
ITEM;407;4;1.11;91.49486
ITEM;408;16;1.16;91.49486
ITEM;303;1;1.09;91.49486
ITEM;406;3;1.20;91.49486
ITEM;1;134;0.57;91.49486
ITEM;21;162;0.78;91.49486
ITEM;2;179;0.91;91.49486
ITEM;20;197;0.84;91.49486
ITEM;102;257;0.72;1.527478
ITEM;104;0;0.59;1.527478
ITEM;101;273;0.75;1.527478
ITEM;100;0;1.02;0.4553393
ITEM;103;48;0.81;0.4553393
ITEM;114;4;0.83;0.4553393
ITEM;163;44;0.77;0.4553393
ITEM;158;172;1.01;0.4553393
ITEM;154;27;1.03;0.4553393
ITEM;156;184;1.01;0.4553393
ITEM;155;100;0.77;0.4553393
ITEM;157;93;1.00;38.46896
ITEM;168;82;0.75;35.41624
ITEM;164;50;0.92;35.41624
ITEM;150;149;0.97;35.41624
ITEM;153;0;0.85;9.320937
ITEM;167;0;1.12;9.320937
ITEM;161;190;0.57;9.320937
ITEM;169;5;0.86;9.320937
ITEM;159;0;1.03;9.320937
ITEM;152;112;0.93;9.320937
ITEM;162;179;0.95;9.320937
ITEM;2295;3;0.54;9.320937
ITEM;2427;3;0.85;9.320937
ITEM;2150;16;0.69;17813.43
ITEM;2200;15;0.94;17813.43
ITEM;2439;16;0.85;17813.43
ITEM;2191;13;0.64;17813.43
ITEM;2438;14;0.51;17813.43
ITEM;2443;3;0.79;17813.43
ITEM;2300;14;0.92;17813.43
ITEM;2257;13;0.57;17813.43
ITEM;2241;12;1.11;120179
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;54;1.81
SKILL;61;1.33
SKILL;74;1.16
SKILL;63;1.48
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.369019;ship_data_(recon_frigate_1).txt
SHIP;1;1.290852;ship_data_(battle_carrier_1).txt
SHIP;1;1.02;ship_data_(recon_utility_1).txt
SHIP;2;1.08;ship_data_(pirate_carrier_1).txt
SHIP;3;0.95;ship_data_(pirate_frigate_1).txt
SHIP;4;0.95;ship_data_(support_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
