// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Training Post
STATION;owner;Bidres Oisedar
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;8
STATION;icon;asp.png
STATION;filename;sector_50_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-4-8-0-3-1-4-5-2-5-0
STATION;interior_seed;5-7-15-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.97;npc_ship_data_(recon_frigate_1).txt
MERC;5;1.42;npc_ship_data_(battle_shuttle_1).txt
MERC;4;0.86;npc_ship_data_(pirate_utility_1).txt
MERC;8;1.38;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchasing (1) Items ;405x1534;42238;102946.90
SELLORDER;Market Inventory: (2) Items ;2010x247,2018x149;134224;40201.67
ITEM;1064;39;1.00;0
ITEM;1160;13;0.80;0
ITEM;1450;55;0.51;0
ITEM;1471;10;1.00;0
ITEM;1111;5;0.75;1229.212
ITEM;1070;13;1.06;1229.212
ITEM;1063;6;0.72;1229.212
ITEM;1122;46;0.57;1229.212
ITEM;1005;1;0.99;1229.212
ITEM;1207;5;0.76;1229.212
ITEM;1009;67;1.19;1229.212
ITEM;1170;37;1.10;1229.212
ITEM;1172;58;1.17;1229.212
ITEM;1014;54;0.83;1229.212
ITEM;1058;72;0.54;1229.212
ITEM;1155;45;0.68;1229.212
ITEM;1010;31;1.15;1229.212
ITEM;1171;22;1.17;1229.212
ITEM;1123;51;1.22;1229.212
ITEM;1124;70;0.76;1229.212
ITEM;1100;77;0.75;1229.212
ITEM;1075;7;1.12;1229.212
ITEM;1151;62;0.70;1229.212
ITEM;1017;5;1.03;1229.212
ITEM;1478;68;0.97;1229.212
ITEM;1102;58;0.99;1508.497
ITEM;1013;41;1.04;1508.497
ITEM;1125;78;0.54;1508.497
ITEM;1542;74;1.03;1508.497
ITEM;1761;73;1.01;1508.497
ITEM;1581;2;0.65;1508.497
ITEM;1611;27;0.52;1508.497
ITEM;1570;62;0.97;2255.854
ITEM;1592;24;0.66;6607.897
ITEM;1594;41;0.90;193082.2
ITEM;1700;15;0.55;193082.2
ITEM;1500;30;1.06;193082.2
ITEM;1760;29;0.86;193082.2
ITEM;1634;74;1.13;193082.2
ITEM;1541;25;1.03;2416.073
ITEM;1650;29;0.68;2416.073
ITEM;1775;38;0.79;6731.486
ITEM;1622;23;1.03;6731.486
ITEM;1514;44;0.86;6731.486
ITEM;1720;30;0.95;6731.486
ITEM;1573;78;1.03;6731.486
ITEM;1533;30;0.89;6731.486
ITEM;1766;24;0.78;6647.662
ITEM;1590;14;0.86;6647.662
ITEM;1510;23;0.59;6647.662
ITEM;1504;63;0.68;118793.1
ITEM;1540;52;0.97;969.3299
ITEM;2650;370;0.51;969.3299
ITEM;61;224;0.91;969.3299
ITEM;51;331;0.95;969.3299
ITEM;75;232;0.97;969.3299
ITEM;2131;308;1.03;969.3299
ITEM;2652;129;0.93;969.3299
ITEM;52;333;0.71;28.40002
ITEM;63;214;0.93;28.40002
ITEM;42;15;0.99;28.40002
ITEM;2117;2;1.21;28.40002
ITEM;2111;303;1.08;28.40002
ITEM;2125;5;1.04;28.40002
ITEM;53;144;1.07;28.40002
ITEM;2129;51;0.71;28.40002
ITEM;2118;392;0.75;28.40002
ITEM;2130;94;1.10;28.40002
ITEM;2128;96;0.87;28.40002
ITEM;62;25;0.52;28.40002
ITEM;2114;19;1.06;28.40002
ITEM;60;119;0.95;28.40002
ITEM;2116;88;1.23;28.40002
ITEM;2651;215;0.59;313.0502
ITEM;751;11;1.19;48671.31
ITEM;670;69;0.75;48671.31
ITEM;677;77;1.02;48671.31
ITEM;712;27;0.55;48671.31
ITEM;723;46;0.94;48671.31
ITEM;732;1;0.63;48671.31
ITEM;735;57;0.78;48671.31
ITEM;691;95;1.00;26959.81
ITEM;700;64;0.82;26959.81
ITEM;672;81;1.19;226998.6
ITEM;743;78;0.77;226998.6
ITEM;675;34;0.71;175031.9
ITEM;693;23;0.83;175031.9
ITEM;755;135;0.64;3223.196
ITEM;740;116;0.74;3223.196
ITEM;756;158;1.22;3223.196
ITEM;722;91;1.10;3223.196
ITEM;711;70;1.11;25204.08
ITEM;703;75;0.74;25204.08
ITEM;726;44;1.07;25204.08
ITEM;737;127;1.02;25204.08
ITEM;731;44;0.74;25204.08
ITEM;752;121;0.79;25204.08
ITEM;702;67;0.53;25204.08
ITEM;747;103;0.69;58110.98
ITEM;744;69;0.64;58110.98
ITEM;760;30;0.50;58110.98
ITEM;720;65;0.89;4695.109
ITEM;745;44;0.54;4695.109
ITEM;754;56;0.66;4695.109
ITEM;746;138;0.75;4695.109
ITEM;667;38;0.69;4695.109
ITEM;602;4;0.89;4695.109
ITEM;665;3;0.72;4695.109
ITEM;661;31;0.72;4695.109
ITEM;604;24;1.22;4695.109
ITEM;625;21;1.20;4695.109
ITEM;666;27;0.69;4695.109
ITEM;642;7;0.56;4695.109
ITEM;622;7;0.78;4695.109
ITEM;607;13;0.83;4695.109
ITEM;624;11;1.00;4695.109
ITEM;601;26;0.71;4695.109
ITEM;621;22;1.22;4695.109
ITEM;663;21;1.21;4695.109
ITEM;641;24;0.83;4695.109
ITEM;626;37;0.76;4695.109
ITEM;620;39;1.07;4695.109
ITEM;664;31;0.51;4695.109
ITEM;644;23;0.83;4695.109
ITEM;623;1;1.01;4695.109
ITEM;605;2;0.78;4695.109
ITEM;647;11;0.95;4695.109
ITEM;600;22;0.77;4695.109
ITEM;603;19;0.95;4695.109
ITEM;662;16;0.83;4695.109
ITEM;627;32;0.97;451636.2
ITEM;646;1;1.17;451636.2
ITEM;645;32;0.76;451636.2
ITEM;660;28;0.53;451636.2
ITEM;640;36;1.01;4517.216
ITEM;341;4;0.90;61.04763
ITEM;351;10;1.01;61.04763
ITEM;323;17;1.19;41.41043
ITEM;403;11;0.70;41.41043
ITEM;342;73;0.83;41.41043
ITEM;343;9;0.62;41.41043
ITEM;304;57;1.04;127.6037
ITEM;353;20;1.07;127.6037
ITEM;407;60;1.19;127.6037
ITEM;408;55;0.80;127.6037
ITEM;332;61;0.77;45.88405
ITEM;322;58;0.81;45.88405
ITEM;406;60;1.15;45.88405
ITEM;404;1;1.07;45.88405
ITEM;311;64;1.21;45.88405
ITEM;325;35;0.67;45.88405
ITEM;300;74;0.59;45.88405
ITEM;312;30;0.63;45.88405
ITEM;310;33;1.05;45.88405
ITEM;405;63;0.98;27.01463
ITEM;301;33;0.80;27.01463
ITEM;352;6;0.72;27.01463
ITEM;324;4;1.07;27.01463
ITEM;303;41;0.65;27.01463
ITEM;320;42;1.01;27.01463
ITEM;333;35;1.17;27.01463
ITEM;302;62;0.80;27.01463
ITEM;350;63;1.17;27.01463
ITEM;340;11;1.06;71.66908
ITEM;313;28;1.22;217.2216
ITEM;321;13;1.08;217.2216
ITEM;11;188;1.22;217.2216
ITEM;5;423;0.67;217.2216
ITEM;20;192;0.66;217.2216
ITEM;26;778;0.93;217.2216
ITEM;3;145;0.64;217.2216
ITEM;23;45;0.51;217.2216
ITEM;8;656;0.83;217.2216
ITEM;21;452;1.02;229.3601
ITEM;6;533;0.92;229.3601
ITEM;2;520;0.92;22.6708
ITEM;25;525;1.09;22.6708
ITEM;27;673;0.94;22.6708
ITEM;24;204;1.06;1976.297
ITEM;4;525;1.02;1976.297
ITEM;1;100;0.84;1976.297
ITEM;7;157;1.22;1976.297
ITEM;22;320;1.23;1976.297
ITEM;112;844;1.05;1976.297
ITEM;108;305;0.60;7.51319
ITEM;2000;139;1.06;7.51319
ITEM;114;290;0.59;7.51319
ITEM;106;380;1.06;7.51319
ITEM;100;1131;1.14;7.51319
ITEM;107;796;0.93;8.815007
ITEM;111;241;0.59;8.815007
ITEM;102;58;1.10;2.488552
ITEM;109;1146;0.68;2.488552
ITEM;105;1089;0.69;2.488552
ITEM;113;52;0.96;5.192093
ITEM;121;150;1.07;48.69103
ITEM;124;1107;0.61;48.69103
ITEM;101;712;1.08;48.69103
ITEM;115;1114;1.01;48.69103
ITEM;118;913;1.01;48.69103
ITEM;117;1181;0.63;48.69103
ITEM;110;362;1.15;48.69103
ITEM;116;613;1.17;111.9649
ITEM;103;561;0.85;111.9649
ITEM;104;32;1.00;111.9649
ITEM;160;476;0.86;111.9649
ITEM;164;535;1.07;22.0558
ITEM;2002;552;1.22;22.0558
ITEM;2032;423;1.22;22.0558
ITEM;151;176;0.59;22.0558
ITEM;2005;3;0.91;22.0558
ITEM;156;10;1.07;22.0558
ITEM;2007;545;1.19;22.0558
ITEM;2034;587;0.98;22.0558
ITEM;2024;110;1.01;22.0558
ITEM;2011;385;0.54;22.0558
ITEM;159;510;1.09;22.0558
ITEM;205;168;0.56;22.0558
ITEM;208;446;0.96;22.0558
ITEM;165;17;0.56;22.0558
ITEM;161;740;0.53;22.0558
ITEM;209;360;1.22;22.0558
ITEM;2025;185;0.54;22.0558
ITEM;2014;781;0.96;22.0558
ITEM;2010;24;0.65;22.0558
ITEM;218;202;0.91;22.0558
ITEM;201;78;1.18;82.10196
ITEM;212;68;1.08;86.35018
ITEM;2039;621;1.07;3386.595
ITEM;2003;77;0.71;3386.595
ITEM;152;217;1.02;11.25994
ITEM;158;168;0.52;11.25994
ITEM;211;594;1.11;83.57502
ITEM;2015;398;0.87;83.57502
ITEM;2030;582;1.16;83.57502
ITEM;150;156;1.04;83.57502
ITEM;2027;744;1.22;83.57502
ITEM;153;652;0.52;83.57502
ITEM;2036;129;0.54;83.57502
