// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Keyworx
STATION;type;Data Processing Station
STATION;owner;Rirestved Binosed
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;keyworx.png
STATION;filename;sector_32_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-1-1-1-0-1-3-9-0-4-1-5-6-1-2-1-2-1-2-7-0
STATION;interior_seed;4-0-45-7
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.23;npc_ship_data_(pirate_utility_1).txt
MERC;5;1.58;npc_ship_data_(support_cruiser_1).txt
MERC;3;1.39;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1400;28;1.12;0
ITEM;1015;25;1.04;0
ITEM;1460;23;1.03;0
ITEM;1151;10;0.71;0
ITEM;1052;21;0.87;1756.625
ITEM;1451;29;0.67;1756.625
ITEM;1170;5;0.77;1756.625
ITEM;1111;18;0.92;1546.125
ITEM;1112;14;0.92;1546.125
ITEM;1121;28;0.79;1846.125
ITEM;1200;38;0.74;2851.875
ITEM;1450;24;0.86;2851.875
ITEM;1110;20;0.59;2851.875
ITEM;1009;30;0.66;1218.25
ITEM;1150;2;1.18;1218.25
ITEM;1062;26;0.89;7210.5
ITEM;1402;12;1.20;20781.25
ITEM;1008;2;0.96;20781.25
ITEM;1100;23;0.71;20781.25
ITEM;1101;15;0.99;20781.25
ITEM;1160;3;0.68;20781.25
ITEM;1201;11;1.20;20781.25
ITEM;1120;11;1.12;20781.25
ITEM;1162;10;1.19;20781.25
ITEM;1631;1;0.85;20781.25
ITEM;1521;35;0.86;1985.076
ITEM;1612;20;0.65;1985.076
ITEM;1552;27;0.55;1985.076
ITEM;1616;25;0.86;1985.076
ITEM;1520;19;1.19;1985.076
ITEM;1511;15;1.00;1985.076
ITEM;1610;11;0.96;1985.076
ITEM;1651;14;0.71;1985.076
ITEM;1650;39;0.78;4296.773
ITEM;1615;26;1.05;2295.766
ITEM;1551;14;1.17;2295.766
ITEM;1510;3;1.19;2295.766
ITEM;1560;13;0.79;2295.766
ITEM;1572;26;1.07;2295.766
ITEM;1582;7;1.24;2295.766
ITEM;1652;5;0.79;2295.766
ITEM;1592;14;0.67;2295.766
ITEM;1502;6;1.25;2295.766
ITEM;1630;33;0.62;3276.389
ITEM;1550;13;0.91;3276.389
ITEM;1541;22;1.03;3276.389
ITEM;2650;97;0.76;3276.389
ITEM;60;100;0.90;3276.389
ITEM;2128;66;1.05;3276.389
ITEM;62;140;0.93;3276.389
ITEM;70;24;0.57;3276.389
ITEM;2112;130;1.01;3276.389
ITEM;50;1768;0.95;20.75625
ITEM;53;115;1.12;20.75625
ITEM;2651;5;0.85;20.75625
ITEM;2118;1595;0.88;270.8125
ITEM;2129;55;0.69;270.8125
ITEM;2130;142;0.53;270.8125
ITEM;42;119;0.84;270.8125
ITEM;2111;141;0.61;270.8125
ITEM;2114;36;0.60;270.8125
ITEM;2113;7;0.51;270.8125
ITEM;43;105;1.00;270.8125
ITEM;61;1510;0.65;48.9375
ITEM;2125;6;1.03;48.9375
ITEM;75;29;1.03;48.9375
ITEM;2120;1627;0.49;155.5723
ITEM;760;37;1.01;155.5723
ITEM;675;37;0.77;155.5723
ITEM;746;40;1.02;155.5723
ITEM;676;28;0.74;63375
ITEM;736;50;1.19;63375
ITEM;672;46;0.82;63375
ITEM;673;34;0.58;63375
ITEM;733;37;0.88;63375
ITEM;742;8;0.57;63375
ITEM;740;55;0.60;63375
ITEM;752;50;0.91;63375
ITEM;674;26;0.79;63375
ITEM;727;13;1.06;63375
ITEM;734;11;0.71;63375
ITEM;670;34;0.54;63375
ITEM;726;11;0.79;10256.25
ITEM;721;14;0.72;10256.25
ITEM;725;23;0.63;10256.25
ITEM;693;11;0.91;10256.25
ITEM;731;17;0.71;10256.25
ITEM;749;26;1.07;240937.5
ITEM;711;24;1.02;240937.5
