// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers
STATION;type;Auction Facility
STATION;owner;Ribres Borxaxon
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;transporteers.png
STATION;filename;sector_56_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-2-0-3-0-0-4-2-1-0-90
STATION;interior_seed;4-7-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;85814.72
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;2.00;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.99;npc_ship_data_(recon_shuttle_1).txt
MERC;6;0.76;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;157x485;14592.00;78810.28
ITEM;2023;200;0.52;219.52
ITEM;2000;646;0.81;11.82
ITEM;1018;28;1.03;125496.80
ITEM;1;240;1.22;17.30
ITEM;42;348;0.78;17.12
ITEM;52;328;1.21;50.14
ITEM;1622;7;0.83;11639.84
ITEM;1532;38;0.81;12753.46
ITEM;1771;8;0.77;6185.66
ITEM;1766;29;0.82;6657.62
ITEM;1776;27;0.76;6080.19
ITEM;1761;44;0.65;5064.26
ITEM;622;30;0.99;14897.97
ITEM;61;394;1.21;96.42
ITEM;641;27;1.08;9413.13
ITEM;1552;77;1.02;21247.21
ITEM;667;23;1.12;510282.50
ITEM;310;69;0.90;43.17
ITEM;163;119;1.14;37.55
ITEM;111;772;1.22;27.57
ITEM;302;14;0.87;41.47
ITEM;2128;203;0.57;41.54
ITEM;2131;345;1.24;198.90
ITEM;2652;107;0.87;555.80
ITEM;2028;130;0.92;1385.27
ITEM;1053;73;1.16;75168.59
ITEM;351;3;0.58;33.41
ITEM;153;788;1.23;13.64
ITEM;167;386;0.65;44.28
ITEM;1520;23;0.89;941.09
ITEM;70;328;1.06;6.82
ITEM;1770;44;0.76;6082.51
ITEM;1765;25;0.69;5438.96
ITEM;1775;12;0.51;3630.85
ITEM;1760;25;0.68;5291.47
ITEM;1580;56;1.06;5018.57
ITEM;620;28;1.21;5356.56
ITEM;312;21;0.58;33.01
ITEM;1710;22;0.95;3014.27
ITEM;60;79;0.77;31.57
ITEM;2406;53;0.70;336.79
ITEM;1730;17;0.92;2533.80
ITEM;1615;64;1.11;2362.82
ITEM;2324;18;0.64;14633.81
ITEM;1610;19;0.77;782.20
ITEM;2309;65;1.23;21947.39
ITEM;2382;16;0.60;2711715.00
ITEM;8;116;0.61;282.79
ITEM;115;655;0.65;14.11
ITEM;664;21;0.52;49570.62
ITEM;1112;34;1.21;2892.54
