// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Ferce Hub
STATION;type;Court Warehouse
STATION;owner;Leibe Leitoei
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;ferce.png
STATION;filename;sector_99_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-0-1-3-0-8-1-5-4-1-5-0-2-7-3-7-90
STATION;interior_seed;3-7-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;74016.27
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.75;npc_ship_data_(recon_frigate_1).txt
MERC;7;1.92;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (3) Items ;213x689,211x862,209x273;240226;135270.80
BUYORDER;Market Demands: (3) Items ;215x872,211x311,211x831;295598;118969.70
BUYORDER;Market Shortage: (3) Items ;211x143,212x572,215x261;190644;106046.90
BUYORDER;Market Low Inventory: (1) Items ;214x164;33172;146745.90
BUYORDER;Market Shortage: (1) Items ;214x83;19491.00;105658.30
BUYORDER;Market Out of Stock: (3) Items ;215x110,209x60,213x589;149367.00;104486.50
BUYORDER;Market Shortage: (2) Items ;216x392,212x510;180140.00;115857.50
SELLORDER;Sale Request Order: (2) Items ;1779x5,1640x4;71214.00;89750.73
BUYORDER;Market Demands: (3) Items ;217x232,212x151,212x96;130103.00;90913.28
ITEM;1;0;0.58;7.6277
ITEM;52;45;0.73;7.6277
ITEM;302;5;0.77;7.6277
ITEM;1052;1;1.10;7.6277
ITEM;153;74;1.12;7.6277
ITEM;1520;9;1.09;7.6277
ITEM;1620;0;0.99;1424.622
ITEM;2329;4;1.23;21722.25
ITEM;1530;7;1.16;21722.25
ITEM;2385;4;1.08;21722.25
ITEM;1750;9;0.66;21722.25
ITEM;1640;2;1.25;21722.25
ITEM;1570;7;0.83;21722.25
ITEM;1580;4;0.52;21722.25
ITEM;1510;0;1.22;6378.545
ITEM;1650;0;0.85;4762.204
ITEM;620;2;0.99;4762.204
ITEM;1630;2;0.76;4762.204
ITEM;1540;4;1.08;4762.204
ITEM;2284;5;1.15;4762.204
ITEM;2406;5;0.82;4762.204
ITEM;1615;1;1.23;4762.204
ITEM;1600;1;0.87;4762.204
ITEM;1560;9;1.11;4762.204
ITEM;2294;1;1.07;4762.204
ITEM;1610;6;0.72;4762.204
ITEM;1500;9;0.60;4762.204
ITEM;1590;0;0.64;899.5079
ITEM;2309;8;1.05;899.5079
ITEM;1110;7;0.92;899.5079
ITEM;727;5;1.05;899.5079
ITEM;729;15;0.80;899.5079
ITEM;406;6;1.08;899.5079
ITEM;403;9;0.78;899.5079
ITEM;101;88;0.87;899.5079
ITEM;168;5;0.69;899.5079
ITEM;404;5;1.07;899.5079
ITEM;300;9;1.23;899.5079
ITEM;301;8;0.91;899.5079
ITEM;218;0;1.20;266.5057
ITEM;660;2;1.12;266.5057
ITEM;2118;0;0.83;254.3559
ITEM;151;6;0.60;254.3559
ITEM;1120;6;0.87;254.3559
ITEM;62;41;1.05;254.3559
ITEM;1001;2;0.85;254.3559
ITEM;1003;1;0.57;254.3559
ITEM;1002;4;0.95;254.3559
ITEM;405;2;0.54;254.3559
ITEM;743;38;0.69;254.3559
ITEM;748;40;0.68;254.3559
ITEM;731;39;0.79;254.3559
ITEM;753;43;0.71;254.3559
ITEM;759;27;0.81;116610.7
ITEM;679;0;1.23;163376
ITEM;741;31;0.69;163376
ITEM;746;15;0.70;26852.91
ITEM;730;8;0.52;26852.91
ITEM;751;30;0.71;27302.91
ITEM;757;23;0.77;30002.91
ITEM;1170;1;0.78;30002.91
ITEM;20;0;0.93;81.01966
ITEM;51;37;1.11;81.01966
ITEM;2119;30;0.76;81.01966
ITEM;742;39;0.71;81.01966
ITEM;747;14;1.07;81.01966
ITEM;733;33;0.68;81.01966
ITEM;211;0;1.34;81.01966
ITEM;752;41;0.77;81.01966
ITEM;758;30;0.78;81.01966
ITEM;712;13;0.92;81.01966
ITEM;209;0;1.31;108.1533
ITEM;692;6;0.51;6507.7
ITEM;700;9;1.22;6507.7
ITEM;2250;2;1.19;6507.7
ITEM;690;0;1.16;15850.97
ITEM;1460;3;1.07;15850.97
ITEM;158;0;1.02;41.52792
ITEM;2434;2;0.71;41.52792
ITEM;155;0;0.75;14.42211
ITEM;680;1;1.21;14.42211
ITEM;672;0;0.86;158913.6
ITEM;740;44;0.70;158913.6
ITEM;745;15;0.25;158913.6
ITEM;676;8;1.08;158913.6
ITEM;732;20;0.83;10900.97
ITEM;750;0;1.15;15700.97
ITEM;756;40;0.81;15700.97
ITEM;214;0;1.17;164.4099
ITEM;157;36;0.92;164.4099
ITEM;728;15;0.25;164.4099
ITEM;210;0;1.32;164.4099
ITEM;212;0;1.17;164.4099
ITEM;150;0;0.74;7.258736
ITEM;2220;3;0.90;7.258736
ITEM;407;9;0.93;7.258736
ITEM;103;71;0.51;7.258736
ITEM;1160;1;0.83;7.258736
ITEM;213;0;1.23;7.258736
