// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepards Hub
STATION;type;Engineering Facility
STATION;owner;Bemdee Tudoe
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;star_shepards.png
STATION;filename;sector_95_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-1-4-8-0-3-1-5-3-3-8-0
STATION;interior_seed;4-3-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;90668.11
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.00;npc_ship_data_(support_frigate_1).txt
MERC;7;1.30;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (2) Items ;301x296,300x639;51072.00;134677.10
SELLORDER;Market Inventory: (1) Items ;2012x246;31521.00;142392.10
SELLORDER;Looking to Sell (2) Items ;113x456,50x293;9140.00;100510.20
ITEM;1;44;0.92;12.92
ITEM;42;45;1.19;28.77
ITEM;52;10;1.14;48.10
ITEM;61;1768;1.12;90.69
ITEM;302;1000;0.25;7.81
ITEM;2128;3;0.50;37.34
ITEM;2652;26;0.69;439.05
ITEM;1052;1;0.95;1926.72
ITEM;351;0;2.50;225.94
ITEM;153;97;1.05;11.72
ITEM;1520;1;0.84;911.52
ITEM;1620;8;0.83;1153.06
ITEM;2329;6;0.79;13065.44
ITEM;1530;9;0.97;2074.61
ITEM;1750;14;1.10;2102.52
ITEM;2339;5;0.71;45741.62
ITEM;1570;4;0.76;1684.09
ITEM;1580;8;0.69;3146.87
ITEM;1510;6;0.95;4784.79
ITEM;1650;8;1.23;7128.04
ITEM;2344;8;1.05;71761.48
ITEM;620;2;0.64;2638.52
ITEM;1540;5;0.58;525.60
ITEM;60;34;0.52;20.39
ITEM;1615;9;0.77;1599.93
ITEM;1600;8;1.01;1062.97
ITEM;1550;1;0.56;1516.51
ITEM;2289;6;0.86;30392.64
ITEM;1560;6;1.22;1411.21
ITEM;1610;5;0.91;988.35
ITEM;1500;2;0.76;763.77
ITEM;2264;5;1.00;12561.00
ITEM;1590;4;1.03;1537.98
ITEM;1110;1;1.08;967.70
ITEM;727;1;0.74;9415.55
ITEM;353;0;2.50;151.92
ITEM;406;5;1.25;35.27
ITEM;403;8;0.92;18.58
ITEM;101;120;0.87;0.57
ITEM;168;57;1.22;61.03
ITEM;2435;5;0.71;395.08
ITEM;404;4;0.93;20.44
ITEM;300;1000;0.25;8.57
ITEM;301;1000;0.25;19.13
ITEM;2129;18;0.74;74.88
ITEM;63;1937;1.13;203.54
ITEM;660;3;1.05;4688.52
ITEM;2111;38;1.14;42.96
ITEM;151;40;0.73;7.72
ITEM;1120;1;0.91;1116.78
ITEM;2180;7;0.93;13737.41
ITEM;2115;2351;0.95;71.29
ITEM;62;36;0.56;62.68
ITEM;1001;3;0.94;1076.01
ITEM;1003;19;0.65;591.47
ITEM;1002;5;1.20;1305.24
ITEM;405;9;1.02;28.14
ITEM;743;15;1.00;146471.00
ITEM;675;4;1.04;269033.90
ITEM;759;14;0.98;143171.00
ITEM;671;13;0.76;181356.90
ITEM;1170;14;0.90;2284.34
ITEM;2010;43;0.82;94.12
ITEM;2011;150;0.25;18.58
ITEM;20;45;1.13;99.73
ITEM;41;41;1.07;20.02
ITEM;2119;37;1.18;469.79
ITEM;747;8;0.70;58770.31
ITEM;2012;150;0.25;21.84
ITEM;2013;39;0.84;125.46
ITEM;733;8;1.24;112770.30
ITEM;2014;150;0.25;39.00
ITEM;758;13;0.72;60770.32
ITEM;712;1;0.72;91155.48
ITEM;1460;2;0.66;30123.67
ITEM;158;83;0.96;38.40
ITEM;155;203;0.48;8.20
ITEM;350;0;2.50;113.71
ITEM;352;0;2.50;646.17
ITEM;157;75;0.88;32.93
ITEM;2015;171;0.67;217.89
ITEM;150;20;1.13;11.60
ITEM;2426;6;0.74;86.00
ITEM;407;923;0.86;322.26
ITEM;103;68;0.89;0.72
ITEM;1160;8;0.69;1588.68
ITEM;600;4;0.56;2238.52
ITEM;2117;43;0.74;169.48
ITEM;1100;2;0.78;333.85
ITEM;2160;4;0.52;2446.22
ITEM;1050;20;0.94;1738.18
ITEM;164;33;0.96;19.33
ITEM;1400;9;1.01;4937.37
ITEM;2240;6;0.81;46048.41
ITEM;2538;9;0.54;30794.63
ITEM;2016;150;0.78;281.04
ITEM;693;18;0.92;9692.44
ITEM;2017;26;0.70;329.35
ITEM;152;99;0.91;9.81
ITEM;156;52;0.68;18.79
ITEM;2018;150;0.25;108.81
ITEM;1054;5;0.83;1830.14
ITEM;640;2;0.84;3638.52
ITEM;749;15;1.23;279425.80
ITEM;2019;177;0.72;668.90
ITEM;75;1947;0.50;48.81
ITEM;77;17;0.87;178.67
ITEM;2120;8;0.88;311.23
ITEM;2125;3;0.65;699.28
ITEM;2127;19;1.08;80.51
ITEM;100;32;0.68;0.28
ITEM;408;9;1.11;5218.99
ITEM;2253;5;0.59;355411.10
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.19
SKILL;7;1.04
SKILL;56;0.90
SKILL;7;1.36
SKILL;58;1.13
SKILL;233;0.71
SKILL;230;1.63
SKILL;45;0.76
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;71;180;946408;ESCORT#sector_35_station_0.txt#sector_0_station_3.txt#Rookie Sivla Aterestdee#npc_ship_data_(transport_frigate_3)#0#null#null#null;<color='yellow'><i>Rookie Sivla Aterestdee</i></color> requests an escort from Astrox Security Patrol in <color='cyan'>Felishar</color> to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;9;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Rookie Sivla Aterestdee</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Felishar</color> system. Escort <color='yellow'><i>Rookie Sivla Aterestdee</i></color> from Astrox Security Patrol to StarShepards Headquarters in the <color='cyan'>Void Starcross</color> system.;5610;1650
MISSION;10;120;832327;DELIVERY#40#152#sector_0_station_3.txt#sector_35_station_0.txt#null#null#null#null;Dock at StarShepards Headquarters in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>40</color> <color='yellow'>Steelium Beams</color>;10;<i>Daero Sipvelcou</i> runs a Missionary shipping company at Astrox Security Patrol. After having some issues with a transport ship, <color='yellow'>40</color> items of <color='yellow'>Steelium Beams</color> were left behind. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Steelium Beams</color> to StarShepards Headquarters.;6460;1900
MISSION;32;240;384598;TRANSPORT#264#403#sector_0_station_1.txt#sector_0_station_5.txt#null#null#null#null;Move light cargo from Lammassu Financial in <color='cyan'>Void Starcross</color> and dock with <color='yellow'>264</color> <color='yellow'>Candy Corns</color> at Proctors Center in <color='cyan'>Void Starcross</color>;11;<i>Xiga Eima</i> was unable to complete a large shipment from Lammassu Financial to Proctors Center. A light shipment containing <color='yellow'>264</color> <color='yellow'>Candy Corns</color> is located at the storage bay at Lammassu Financial in <color='cyan'>Void Starcross</color>. Retrieve the <color='yellow'>Candy Corns</color> and transport them to Proctors Center in <color='cyan'>Void Starcross</color>.;7980;1050
MISSION;40;120;516395;SCAN_PILOT#sector_1_station_0.txt#sector_81.txt#Fabricator Poehom Demiimes#npc_ship_data_(support_frigate_2)#10#null#null#null;Locate and scan <color='yellow'><i>Fabricator Poehom Demiimes</i></color> in <color='cyan'>Ferrelis Cove</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;11;<i>Leitaj Lindoemi</i> has requested a location verification on a recent employee. <color='yellow'><i>Fabricator Poehom Demiimes</i></color> is supposed to be running a survey in <color='cyan'>Ferrelis Cove</color>. Please verify the location of this pilot by scanning their ship and return to Quantex in <color='cyan'>Dellis Primeria</color>.;14534;4650
MISSION;51;120;692785;SCAN_STRUCTURE#sector_0_station_4.txt#sector_77.txt#Industrial Machine#structure_machine_1.txt#1#null#null#null;Find the target <color='yellow'>Industrial Machine</color> structure in <color='cyan'>Ballast Crow</color>, scan, and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;10;<i>Welimad Goport</i> has requested that someone verify the location of <color='yellow'>Industrial Machine</color> in the <color='cyan'>Ballast Crow</color> sector. After a recent mix-up at the zoning office, the Missionary reps are concerned that construction guidelines were not followed properly. Return to the Starbase Corporate Center station located in the <color='cyan'>Void Starcross</color> with the scan data.;10248;2625
MISSION;80;120;630975;RECOVER#1#1612#sector_38.txt#sector_80_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Advanced Targeting System</color> in <color='cyan'>Equalias Val</color>, and return to Genistar in <color='cyan'>Blades of Dandrow</color>;9;The Temple faction has lost track of a light crate somewhere in the <color='cyan'>Equalias Val</color> system. Head over there and recover the crate containing <color='yellow'>1</color> units of <color='yellow'>Advanced Targeting System</color>, and dock at the Genistar in the <color='cyan'>Blades of Dandrow</color> sector. <i>Bidni Nosad</i> has been instructed to wait for the lost cargo at the Genistar station.;13878;3500
MISSION;150;120;802558;FABRICATE#4#2449#sector_0_station_1.txt#sector_0_station_3.txt#null#null#null#null;Dock at the Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Thermal Sensors</color>;9;<i>Atepae Yelsocoo</i> runs a Temple production company at StarShepards Headquarters. After having some issues with a manufacturing plant, <color='yellow'>4</color> items of <color='yellow'>Thermal Sensors</color> were marked as low supply. Head on over to <color='cyan'>Void Starcross</color> and fabricate these <color='yellow'>Thermal Sensors</color> at Lammassu Financial.;11000;1100
