// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vita Assembly
STATION;type;Assembly Station
STATION;owner;Yergale Feivel
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;3
STATION;icon;vita.png
STATION;filename;sector_109_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-3-1-5-2-3-7-1-1-6-0-5-1-4-2-0-0-90
STATION;interior_seed;5-9-0-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.29;npc_ship_data_(support_utility_1).txt
MERC;6;1.42;npc_ship_data_(recon_shuttle_1).txt
MERC;9;1.93;npc_ship_data_(excavation_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Surplus: (1) Items ;2005x766;81496;167517.50
BUYORDER;Looking to Buy (1) Items ;2401x58;85879;123995.00
SELLORDER;Market Supply: (2) Items ;2006x129,2006x309;82520;120327.10

BUYORDER;Market Items Req: (1) Items ;20x685;73462;124697.50
BUYORDER;Market Out of Stock: (1) Items ;23x191;184037;44218.80
ITEM;1402;19;0.92;0
ITEM;1100;9;0.51;0
ITEM;1400;6;1.18;5948.035
ITEM;1170;11;1.18;5948.035
ITEM;1007;26;0.57;1229.747
ITEM;1003;13;0.57;1229.747
ITEM;1062;17;1.02;8453.523
ITEM;1470;17;0.63;8453.523
ITEM;1110;2;0.67;566.976
ITEM;1002;21;1.11;1216.539
ITEM;1152;11;0.73;6096.355
ITEM;1059;29;0.80;6096.355
ITEM;1122;23;1.03;4922.957
ITEM;1172;4;0.62;4922.957
ITEM;1300;24;0.78;4922.957
ITEM;1121;2;0.95;2303.622
ITEM;1511;4;1.03;2303.622
ITEM;1541;24;0.63;2303.622
ITEM;1710;15;0.94;2303.622
ITEM;1572;26;0.50;2303.622
ITEM;1561;7;0.72;2303.622
ITEM;1630;10;1.18;2303.622
ITEM;1600;7;1.00;2303.622
ITEM;1510;18;1.26;6610.597
ITEM;1751;13;0.75;6610.597
ITEM;1632;23;0.60;6610.597
ITEM;1580;7;0.65;6610.597
ITEM;1562;20;0.97;11110.13
ITEM;1540;3;1.13;11110.13
ITEM;1521;2;0.55;11110.13
ITEM;1617;22;0.98;11110.13
ITEM;1621;17;0.69;11110.13
ITEM;1610;22;0.73;11110.13
ITEM;1531;15;1.20;11110.13
ITEM;1591;1;1.02;11110.13
ITEM;1615;10;0.51;11110.13
ITEM;1652;15;1.23;11110.13
ITEM;1642;28;0.53;11110.13
ITEM;1501;12;1.12;11110.13
ITEM;42;47;1.26;30.87892
ITEM;2119;135;0.85;30.87892
ITEM;2651;21;1.19;30.87892
ITEM;61;20;1.13;30.87892
ITEM;2118;59;0.77;30.87892
ITEM;43;46;0.79;30.87892
ITEM;2652;66;1.05;30.87892
ITEM;2128;36;0.68;30.87892
ITEM;2129;119;0.87;92.46504
ITEM;76;94;1.16;92.46504
ITEM;2114;20;0.91;92.46504
ITEM;52;24;0.79;32.10156
ITEM;2115;72;0.59;32.10156
ITEM;2121;26;0.73;32.10156
ITEM;60;134;1.11;32.10156
ITEM;2124;139;0.66;32.10156
ITEM;2113;36;1.14;32.10156
ITEM;75;86;0.76;32.10156
ITEM;51;104;0.78;32.10156
ITEM;62;115;0.75;32.10156
ITEM;53;101;0.69;32.10156
ITEM;63;92;0.68;32.10156
ITEM;2127;106;1.26;96.5926
ITEM;40;56;1.25;96.5926
ITEM;70;146;1.03;96.5926
ITEM;670;51;0.72;96.5926
ITEM;733;5;0.57;96.5926
ITEM;702;26;0.76;96.5926
ITEM;729;35;0.89;96.5926
ITEM;758;54;0.59;49550.64
ITEM;754;15;0.72;49550.64
ITEM;677;11;0.62;49550.64
ITEM;759;2;1.07;160343.6
ITEM;727;55;1.16;160343.6
ITEM;738;45;1.20;160343.6
ITEM;701;10;0.66;2807.879
ITEM;679;41;1.16;2807.879
ITEM;742;59;0.86;75835.47
ITEM;755;31;1.09;75835.47
ITEM;734;20;0.72;155148.7
ITEM;673;23;0.54;155148.7
ITEM;728;1;0.63;155148.7
ITEM;693;48;1.12;12258.84
ITEM;726;26;0.65;12258.84
ITEM;680;7;1.02;12258.84
ITEM;692;31;0.75;12258.84
ITEM;748;9;0.86;12258.84
ITEM;750;9;0.54;12258.84
ITEM;700;12;0.85;12258.84
ITEM;622;2;0.60;12258.84
ITEM;642;9;0.73;12258.84
ITEM;601;10;0.51;12258.84
ITEM;661;13;0.63;12258.84
ITEM;602;1;0.59;12258.84
ITEM;600;6;0.58;2395.849
ITEM;641;2;0.65;2395.849
ITEM;621;13;0.54;2395.849
ITEM;660;2;1.16;5309.407
ITEM;662;1;0.56;5309.407
ITEM;640;5;0.95;4246.021
ITEM;620;14;1.17;4246.021
ITEM;304;15;1.16;4246.021
ITEM;310;25;0.93;4246.021
ITEM;405;21;1.22;4246.021
ITEM;301;5;1.12;4246.021
ITEM;302;16;1.24;4246.021
ITEM;313;2;0.58;4246.021
ITEM;406;28;0.80;4246.021
ITEM;303;25;0.70;4246.021
ITEM;408;2;1.06;4246.021
ITEM;407;28;0.53;4246.021
ITEM;312;12;0.71;46.06332
ITEM;311;29;0.57;46.06332
ITEM;403;13;1.00;46.06332
ITEM;300;27;1.15;46.06332
ITEM;404;20;0.54;46.06332
ITEM;305;2;1.15;155.2678
ITEM;22;74;0.71;266.3896
ITEM;20;169;0.52;266.3896
ITEM;3;93;0.63;266.3896
ITEM;21;181;0.64;266.3896
ITEM;2;250;0.81;266.3896
ITEM;1;11;1.29;19.01374
ITEM;109;260;0.72;19.01374
ITEM;118;338;0.85;19.01374
ITEM;114;417;0.61;19.01374
ITEM;103;139;0.95;19.01374
ITEM;101;331;1.10;19.01374
ITEM;113;304;0.60;19.01374
ITEM;100;202;0.71;0.3032788
ITEM;104;1;0.62;0.3032788
ITEM;102;44;0.86;0.3032788
ITEM;151;230;0.80;0.3032788
ITEM;153;75;0.56;0.3032788
ITEM;400;147;1.24;0.3032788
ITEM;161;62;0.62;0.3032788
