// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;60355.5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;159x405;23955;105724.00
BUYORDER;Market Demands: (3) Items ;161x832,160x748,165x832;137088;91931.04
ITEM;2489;47;0.99;5891.379
ITEM;2000;1570;0.78;11.18048
ITEM;2258;11;0.87;11.18048
ITEM;1;20685;1.00;13.76138
ITEM;1522;71;1.13;13.76138
ITEM;1622;100;0.85;11962.21
ITEM;1642;109;0.61;22018.99
ITEM;622;43;1.05;15926.01
ITEM;61;13579;1.16;91.40582
ITEM;2407;66;0.80;712.6594
ITEM;641;29;0.65;5053.311
ITEM;1602;115;0.74;7575.137
ITEM;737;27;0.62;239591.1
ITEM;1592;40;1.06;10903.17
ITEM;2311;80;0.49;49258.57
ITEM;310;4463;0.99;48.30484
ITEM;2001;370;0.67;48.30484
ITEM;163;102;2.47;109.37
ITEM;111;1114;0.54;109.37
ITEM;302;4480;0.78;35.91273
ITEM;2128;13592;0.52;36.42102
ITEM;2652;10663;0.82;515.2871
ITEM;1067;116;0.97;15223.98
ITEM;351;5881;1.00;64.6069
ITEM;153;288;0.26;1.459682
ITEM;167;159;1.08;101.2319
ITEM;2444;52;0.87;754.9213
ITEM;169;144;1.06;108.9093
ITEM;40;11752;1.17;15.05431
ITEM;1721;103;0.46;1192.792
ITEM;2029;1382;0.67;1036.162
ITEM;1640;119;0.55;2629.554
ITEM;620;34;0.59;2244.994
ITEM;312;4696;0.91;57.38944
ITEM;2354;77;0.71;57.38944
ITEM;60;14572;0.47;16.35127
ITEM;1732;71;0.63;1485.387
ITEM;1730;89;0.54;1485.387
ITEM;1550;75;0.81;2277.616
ITEM;1560;57;1.15;1289.781
ITEM;2264;76;1.04;12693.87
ITEM;115;1362;0.64;12693.87
ITEM;664;22;0.87;12693.87
ITEM;665;31;1.12;235772.9
ITEM;2171;48;0.48;7634.284
ITEM;1114;128;0.51;4580.105
ITEM;2174;48;0.92;116086.4
ITEM;311;5937;0.52;27.70859
ITEM;729;94;1.02;13170.23
ITEM;109;1213;0.80;13170.23
ITEM;353;4258;0.83;35.12657
ITEM;406;4968;1.07;28.8358
ITEM;403;5285;0.86;16.41528
ITEM;205;693;0.50;40.84382
ITEM;101;1222;0.64;0.371832
ITEM;168;263;0.25;5.966298
ITEM;623;28;0.49;5.966298
ITEM;606;40;1.02;5.966298
ITEM;110;1684;0.89;12.62454
ITEM;605;37;0.52;90110.39
ITEM;603;33;0.68;26891.36
ITEM;325;4151;0.74;26891.36
ITEM;404;5189;1.08;26891.36
ITEM;200;1241;0.91;47.41893
ITEM;300;5903;0.47;20.19787
ITEM;2378;19;0.64;59231.14
