// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lacuna Bandits
STATION;type;Entertainment Hub
STATION;owner;Kilekom Anfer
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;lacuna.png
STATION;filename;sector_77_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-1-7-7-3-3-1-1-0-2-6-0-3-3-2-1-90
STATION;interior_seed;5-8-45-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;82947.07
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.03;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.56;npc_ship_data_(transport_escort_1).txt
MERC;7;1.94;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;406x479;16631.00;104747.10
ITEM;2000;250;0.25;2.31
ITEM;1;3163;0.57;7.22
ITEM;52;173;0.72;28.15
ITEM;2398;2;0.59;264.95
ITEM;2276;7;0.93;89643.09
ITEM;1622;31;0.84;12147.11
ITEM;1532;24;0.64;9906.23
ITEM;1572;39;1.08;19410.43
ITEM;1582;18;1.14;36993.72
ITEM;2306;16;1.06;409155.70
ITEM;1512;6;1.18;41203.64
ITEM;622;19;0.72;10525.21
ITEM;61;491;1.09;87.43
ITEM;641;18;1.19;10714.41
ITEM;310;10;1.03;51.68
ITEM;2001;40;0.82;84.52
ITEM;2439;38;1.10;441.65
ITEM;111;224;0.75;16.10
ITEM;302;21;1.06;53.38
ITEM;2128;1573;0.85;70.44
ITEM;2131;178;0.80;123.07
ITEM;2652;149;0.52;305.09
ITEM;1052;25;1.25;2602.31
ITEM;1057;28;1.23;5112.63
ITEM;2141;19;1.17;58039.52
ITEM;1062;36;0.93;7465.25
ITEM;153;288;0.51;4.89
ITEM;2429;18;0.87;112.72
ITEM;169;160;0.69;54.52
ITEM;40;2279;1.18;15.60
ITEM;1520;18;1.00;1104.09
ITEM;1620;12;1.17;1689.24
ITEM;1530;40;0.88;1841.77
ITEM;70;130;0.72;4.45
ITEM;2344;2;1.17;80465.70
ITEM;620;12;1.15;5157.20
ITEM;312;20;0.59;35.26
ITEM;2353;24;1.09;43310.71
ITEM;1710;34;0.95;3089.05
ITEM;2352;27;0.71;26368.79
ITEM;2350;34;0.62;23262.83
ITEM;1615;12;0.57;1098.18
ITEM;2448;30;0.53;376.88
ITEM;400;300;1.14;1329.92
ITEM;2529;38;1.01;13927.87
ITEM;208;76;0.85;104.74
ITEM;2455;32;0.91;1359.70
ITEM;115;37;0.69;15.77
ITEM;1110;38;1.12;1001.44
ITEM;1111;34;0.96;1598.74
ITEM;311;25;1.06;68.35
ITEM;116;258;0.79;70.97
ITEM;109;250;0.25;0.67
ITEM;406;0;2.50;92.28
ITEM;403;39;1.23;25.56
ITEM;101;250;0.59;0.35
ITEM;623;16;1.03;45572.03
ITEM;110;32;0.83;12.02
