// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Terra Drone
STATION;type;Medical Research Facility
STATION;owner;Gorebem Gendee
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;terradrone.png
STATION;filename;sector_32_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-1-5-2-2-0-0-6-7-0-8-1-4-0-0-5-1-3-2-1-8-0
STATION;interior_seed;3-2-15-0
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.09;npc_ship_data_(battle_escort_1).txt
MERC;8;0.51;npc_ship_data_(support_utility_1).txt
MERC;6;1.22;npc_ship_data_(pirate_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (3) Items ;3x189,6x78,2x650;77103;119378.50
BUYORDER;Market Items Req: (3) Items ;3x310,6x288,4x266;236861;95973.48
ITEM;1170;15;1.26;3271.624
ITEM;1009;9;0.76;3271.624
ITEM;1003;8;0.88;3271.624
ITEM;1201;6;1.14;3271.624
ITEM;1171;8;1.20;3271.624
ITEM;1050;21;0.97;3271.624
ITEM;1402;4;1.07;3271.624
ITEM;1054;14;1.03;3271.624
ITEM;1152;27;1.09;9250.582
ITEM;1161;17;1.22;9250.582
ITEM;1200;12;0.60;9250.582
ITEM;1112;8;1.11;9250.582
ITEM;1120;26;0.85;9250.582
ITEM;1470;5;0.56;26548.95
ITEM;1102;2;0.58;26548.95
ITEM;1059;22;0.50;26548.95
ITEM;1057;4;0.84;26548.95
ITEM;1064;0;0.64;26548.95
ITEM;1008;2;0.73;26548.95
ITEM;1160;15;1.12;26548.95
ITEM;1150;23;0.92;1981.65
ITEM;1542;8;0.88;1981.65
ITEM;1631;7;1.30;15741.06
ITEM;1750;16;1.10;15741.06
ITEM;1620;20;1.03;1442.995
ITEM;1500;15;1.19;1442.995
ITEM;1600;4;1.13;1442.995
ITEM;1652;0;0.76;1442.995
ITEM;1521;15;0.63;1322.175
ITEM;1581;19;1.18;11787.32
ITEM;1642;4;0.63;23337.3
ITEM;1502;22;1.26;11369.64
ITEM;1651;25;0.71;11369.64
ITEM;1700;26;0.58;11369.64
ITEM;1611;10;0.59;11369.64
ITEM;1580;12;1.13;11369.64
ITEM;1615;7;1.02;2153.972
ITEM;1710;28;0.98;3156.392
ITEM;1601;10;0.63;3156.392
ITEM;1650;21;1.02;3156.392
ITEM;1550;14;1.24;3760.782
ITEM;2118;146;1.15;3760.782
ITEM;2131;12;0.82;124.7934
ITEM;51;59;0.96;29.62586
ITEM;2129;72;1.09;114.8705
ITEM;43;27;1.06;31.41495
ITEM;50;93;0.66;31.41495
ITEM;61;9;0.71;31.41495
ITEM;2120;95;1.14;31.41495
ITEM;2650;59;1.01;31.41495
ITEM;52;2381;1.01;31.41495
ITEM;2128;1629;0.80;31.41495
ITEM;2125;25;1.00;31.41495
ITEM;2122;147;0.67;31.41495
ITEM;2114;15;0.81;31.41495
ITEM;2124;101;1.17;31.41495
ITEM;41;60;0.66;31.41495
ITEM;70;5;1.22;8.063767
ITEM;2121;0;0.52;8.063767
ITEM;2115;85;1.02;8.063767
ITEM;2127;88;0.53;8.063767
ITEM;670;27;1.09;8.063767
ITEM;677;24;1.07;8.063767
ITEM;729;24;0.96;8.063767
ITEM;710;20;0.94;4053.506
ITEM;743;33;1.21;4053.506
ITEM;722;12;1.07;4053.506
ITEM;746;34;1.07;4053.506
ITEM;730;40;0.72;4053.506
ITEM;757;47;1.02;4053.506
ITEM;740;1;1.09;4053.506
ITEM;760;2;1.17;4053.506
ITEM;734;39;0.93;4053.506
ITEM;721;21;0.85;4053.506
ITEM;745;28;0.51;4053.506
ITEM;738;27;0.89;4053.506
ITEM;759;45;0.84;4053.506
ITEM;703;8;0.99;4053.506
ITEM;671;11;0.63;4053.506
ITEM;720;4;0.80;4053.506
ITEM;748;5;0.67;89002.52
ITEM;675;3;1.00;89002.52
ITEM;691;26;0.72;17530.87
ITEM;673;20;0.91;17530.87
ITEM;662;8;0.52;17530.87
ITEM;622;5;1.03;17530.87
ITEM;660;0;1.02;17530.87
ITEM;601;10;1.15;17530.87
ITEM;640;11;0.65;17530.87
ITEM;661;7;0.80;17530.87
ITEM;620;2;1.05;17530.87
ITEM;602;3;1.21;17530.87
ITEM;600;14;0.93;3970.997
ITEM;621;1;1.02;3970.997
ITEM;641;14;0.60;3970.997
ITEM;642;13;0.69;3970.997
ITEM;305;2;0.74;90.05204
ITEM;304;17;0.79;90.05204
ITEM;303;0;0.94;68.59134
ITEM;405;28;1.18;68.59134
ITEM;407;22;1.14;435.8149
ITEM;313;10;0.55;80.88486
ITEM;408;1;1.02;80.88486
ITEM;311;0;1.16;74.317
ITEM;300;27;0.63;74.317
ITEM;312;18;1.13;74.317
ITEM;310;24;0.87;74.317
ITEM;301;25;0.77;74.317
ITEM;406;11;1.01;74.317
ITEM;403;22;0.70;74.317
ITEM;302;12;1.02;50.10253
ITEM;404;25;0.60;11.64272
ITEM;22;80;1.11;11.64272
ITEM;20;19;0.90;11.64272
ITEM;2;0;0.60;16.33711
ITEM;21;123;1.02;176.816
ITEM;3;236;0.52;176.816
ITEM;1;194;1.03;176.816
ITEM;118;106;1.28;6.316356
ITEM;113;163;1.06;6.316356
ITEM;109;90;0.89;6.316356
ITEM;101;400;0.88;6.316356
ITEM;102;175;1.22;6.316356
ITEM;104;34;0.56;6.316356
ITEM;100;437;0.97;6.316356
ITEM;114;68;0.62;6.316356
ITEM;103;225;0.54;6.316356
ITEM;163;58;1.18;6.316356
ITEM;151;88;0.58;6.316356
ITEM;164;53;0.63;6.316356
ITEM;158;286;0.99;6.316356
