// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Medicore University
STATION;type;Academic University
STATION;owner;Horebac Lockigalewhi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;9
STATION;icon;ad_image_8.png
STATION;filename;sector_20_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-1-1-1-0-1-2-8-2-2-0-3-3-3-7-90
STATION;interior_seed;4-1-0-2
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.86;npc_ship_data_(pirate_shuttle_1).txt
MERC;7;1.45;npc_ship_data_(pirate_carrier_1).txt
MERC;9;1.59;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;351x520;74241;159089.80
BUYORDER;Market Out of Stock: (2) Items ;352x156,350x422;77654;105505.10
SELLORDER;Market Items: (1) Items ;1561x230;316611;124956.10
BUYORDER;Market Shortage: (1) Items ;351x395;31903;117685.50
BUYORDER;Market Items Req: (3) Items ;350x109,350x345,352x547;219567;89615.42
BUYORDER;Market Out of Stock: (2) Items ;353x331,351x491;58696;106490.90
BUYORDER;Market Shortage: (3) Items ;353x332,350x422,350x479;80833;46734.91
BUYORDER;Market Items Req: (4) Items ;350x419,350x225,353x170,352x237;175272;93259.91
BUYORDER;Request Order: (1) Items ;350x575;20082;62451.61
BUYORDER;Purchase Order for: (1) Items ;325x1658;24282;43876.61
BUYORDER;Market Low Inventory: (1) Items ;350x37;2864;67266.03
BUYORDER;Market Demands: (1) Items ;351x41;6489;75286.82
BUYORDER;Market Shortage: (2) Items ;350x68,353x48;8763;77012.77
BUYORDER;Market Shortage: (2) Items ;350x72,351x60;7695;35961.19
SELLORDER;For Sale: (1) Items ;1482x1;65719;54844.16
ITEM;1013;4;0.74;0
ITEM;1118;4;0.48;69591.61
ITEM;1002;27;1.19;69591.61
ITEM;1005;9;0.77;69591.61
ITEM;1064;79;1.25;69591.61
ITEM;1003;43;1.07;69591.61
ITEM;1050;53;0.64;69591.61
ITEM;1112;49;0.87;1984.436
ITEM;1460;9;0.96;45497.64
ITEM;1017;78;1.01;45497.64
ITEM;1162;51;1.17;11300.19
ITEM;1023;26;0.84;11300.19
ITEM;1058;28;0.78;11300.19
ITEM;1114;13;0.86;11300.19
ITEM;1026;10;0.59;11300.19
ITEM;1165;70;0.70;11300.19
ITEM;1103;68;0.97;11300.19
ITEM;1059;74;0.90;11300.19
ITEM;1117;70;1.24;11300.19
ITEM;1113;72;0.81;4263.775
ITEM;1060;42;1.19;4263.775
ITEM;1111;53;1.13;4263.775
ITEM;1021;77;0.80;5861.539
ITEM;1170;53;0.78;1872.234
ITEM;1014;2;1.25;1872.234
ITEM;1174;62;0.57;1872.234
ITEM;1170;73;0.83;1872.234
ITEM;1016;83;0.86;1872.234
ITEM;1211;75;0.71;664040.5
ITEM;1115;40;0.97;664040.5
ITEM;1201;59;0.64;664040.5
ITEM;1200;58;0.59;664040.5
ITEM;1062;75;1.05;8432.896
ITEM;1052;68;1.14;2306.978
ITEM;1072;41;0.63;2306.978
ITEM;1530;34;1.03;2306.978
ITEM;1630;39;0.55;2306.978
ITEM;1624;69;0.78;2306.978
ITEM;1632;44;0.74;2306.978
ITEM;1602;5;0.56;2306.978
