// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarGypsy Warehouse
STATION;type;Tavern Station
STATION;owner;Pinratus Flake
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color; 1.0 , 0.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;stargypsy.png
STATION;filename;sector_0_station_2.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;20
STATION;seed;4-5-0-1-9-0-9-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;7-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;84461.87
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(pirate_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.93;npc_ship_data_(pirate_utility_1).txt
MERC;12;1.23;npc_ship_data_(pirate_utility_2).txt
MERC;15;1.47;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (2) Items ;2027x432,2020x230;206346;132238.70

SELLORDER;Market Production: (1) Items ;2020x912;63266.00;108894.10
BUYORDER;Market Shortage: (3) Items ;405x786,310x143,311x287;58044.00;113124.70
BUYORDER;Market Shortage: (2) Items ;404x209,403x184;25575.00;103326.50
BUYORDER;Market Out of Stock: (1) Items ;403x196;10643.00;86598.28
ITEM;2023;150;0.25;75.67
ITEM;2489;43;0.62;3463.95
ITEM;2000;1367;0.52;7.07
ITEM;2258;17;0.74;59658.30
ITEM;1;8020;0.59;7.54
ITEM;42;5620;1.01;23.80
ITEM;52;5828;0.98;40.32
ITEM;1522;76;0.75;5813.17
ITEM;1622;58;1.01;15009.45
ITEM;1771;68;0.76;6294.07
ITEM;2367;31;0.69;67286.56
ITEM;2301;40;0.87;182049.30
ITEM;622;48;0.38;4575.21
ITEM;641;20;1.14;10214.41
ITEM;1617;96;0.81;13609.35
ITEM;737;74;0.93;405720.30
ITEM;2024;286;0.25;101.52
ITEM;310;54;1.05;66.02
ITEM;2025;150;0.25;128.71
ITEM;163;1113;1.02;33.80
ITEM;111;1359;1.11;25.28
ITEM;2026;17;0.25;141.46
ITEM;2027;150;0.25;186.00
ITEM;302;4099;0.90;44.31
ITEM;2652;7244;0.49;282.29
ITEM;2028;288;0.25;233.04
ITEM;1057;93;0.41;1340.63
ITEM;351;2046;0.83;53.86
ITEM;153;789;0.90;9.77
ITEM;40;9761;0.63;7.52
ITEM;2386;20;0.98;151.61
ITEM;2029;144;0.25;259.96
ITEM;1760;55;1.09;9532.17
ITEM;620;31;0.92;4007.20
ITEM;312;7;1.05;87.09
ITEM;2406;64;0.91;474.86
ITEM;1731;69;1.02;3484.97
ITEM;1730;106;1.02;2923.37
ITEM;1615;81;0.89;1876.61
ITEM;1550;56;1.04;3121.20
ITEM;115;901;0.53;11.36
ITEM;664;39;0.92;104187.30
ITEM;665;18;0.92;192345.80
ITEM;1112;36;0.52;1083.89
ITEM;2173;11;0.69;43200.91
ITEM;1114;71;1.05;11549.86
ITEM;727;109;1.13;15171.61
ITEM;311;22;1.05;84.53
ITEM;729;134;0.46;5121.61
ITEM;109;1397;0.96;4.29
ITEM;353;2169;1.10;49.96
ITEM;406;3358;1.13;31.35
ITEM;403;0;2.50;68.47
ITEM;205;1121;0.87;86.79
ITEM;2452;42;0.57;625.70
ITEM;101;1960;1.01;0.67
ITEM;623;27;0.92;40072.03
ITEM;606;39;0.63;199461.80
ITEM;110;1135;1.01;15.07
ITEM;605;34;0.90;187545.80
ITEM;603;44;0.98;43072.03
ITEM;325;3276;0.53;9.42
ITEM;404;0;2.50;74.42
ITEM;300;5080;0.94;51.09
ITEM;1779;55;0.99;8550.93
ITEM;2381;29;0.44;37849.31
ITEM;301;2977;0.79;93.26
ITEM;332;3648;0.89;53.38
ITEM;2651;9344;0.87;488.44
ITEM;666;22;1.04;359361.80
ITEM;661;43;0.78;6614.41
ITEM;108;1141;0.69;8.69
ITEM;2002;613;1.06;124.27
ITEM;2003;756;0.88;134.09
ITEM;2126;10554;0.89;55.39
ITEM;2129;8293;1.00;105.16
ITEM;660;26;0.91;3957.20
ITEM;112;1810;0.94;23.00
ITEM;7;16397;0.97;315.03
ITEM;643;46;1.10;49072.03
ITEM;11;17897;0.91;75.19
ITEM;24;22362;0.98;1429.99
ITEM;2005;757;0.69;146.86
ITEM;738;26;1.09;1165729.00
ITEM;322;2669;1.04;197.37
ITEM;1021;102;0.61;4324.68
ITEM;1019;42;0.86;7710.98
ITEM;2111;7636;1.03;38.10
ITEM;2114;8576;0.60;34.33
ITEM;151;782;0.68;7.02
ITEM;1125;65;0.98;35922.07
ITEM;1126;107;0.48;30108.00
ITEM;343;1000;0.25;18.01
ITEM;341;1000;0.25;10.11
ITEM;2112;11262;0.78;33.20
ITEM;2391;15;0.97;512.57
ITEM;2115;12132;0.44;27.35
ITEM;324;4235;0.87;38.25
ITEM;313;51;1.05;227.74
ITEM;2;23452;1.04;25.80
