// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Foodmaid
STATION;type;Food Production Plant
STATION;owner;Astto Xulaoyel
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;9
STATION;icon;foodmaid.png
STATION;filename;sector_55_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-1-4-1-4-0-2-4-1-9-0-5-6-2-7-1-6-4-3-3-90
STATION;interior_seed;4-3-15-2
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.56;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.17;npc_ship_data_(transport_carrier_1).txt
MERC;3;1.95;npc_ship_data_(battle_escort_1).txt
MERC;3;1.98;npc_ship_data_(excavation_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;311x350,310x588;84315;107011.50
BUYORDER;Buy Order Request for (1) Items ;341x1631;64923;38237.54
SELLORDER;Market Inventory: (1) Items ;2004x327;64446;54526.72
ITEM;1022;75;0.73;0
ITEM;1152;38;0.60;4789.375
ITEM;1067;13;0.69;4789.375
ITEM;1150;21;0.76;4789.375
ITEM;1015;61;1.22;4900.5
ITEM;1155;45;0.77;51042.38
ITEM;1168;22;1.11;51042.38
ITEM;1127;30;0.57;51042.38
ITEM;1207;59;1.06;51042.38
ITEM;1170;68;0.51;51042.38
ITEM;1478;14;0.55;51042.38
ITEM;1023;14;0.77;51042.38
ITEM;1407;69;0.97;518250
ITEM;1201;69;1.03;7851.875
ITEM;1162;52;0.74;7851.875
ITEM;1069;12;1.11;7851.875
ITEM;1174;97;0.72;7851.875
ITEM;1101;38;0.82;7851.875
ITEM;1008;66;0.73;7851.875
ITEM;1017;14;1.09;163696
ITEM;1171;4;0.66;163696
ITEM;1054;77;0.52;163696
ITEM;1154;85;0.61;163696
ITEM;1126;75;0.84;163696
ITEM;1173;78;1.13;163696
ITEM;1164;35;0.52;163696
ITEM;1012;49;0.82;163696
ITEM;1058;44;0.93;121256
ITEM;1051;76;0.81;121256
ITEM;1400;38;0.56;2495.625
ITEM;1471;22;1.08;759525.1
ITEM;1643;42;0.79;759525.1
ITEM;1574;37;0.60;201908.4
ITEM;1731;72;0.50;1522.238
ITEM;1624;82;0.55;1522.238
ITEM;1779;44;0.50;1522.238
ITEM;1650;18;0.81;1522.238
ITEM;1611;66;0.98;1522.238
ITEM;1550;21;0.81;1522.238
ITEM;1633;5;1.16;1522.238
ITEM;1593;31;0.90;1522.238
ITEM;1732;45;1.04;1522.238
ITEM;1776;58;1.16;1522.238
ITEM;1581;34;1.13;1522.238
ITEM;1623;77;1.10;1522.238
ITEM;1618;55;0.66;1522.238
ITEM;1712;24;0.69;1522.238
ITEM;1594;70;1.03;224588.1
ITEM;1512;61;1.00;224588.1
ITEM;1502;77;0.74;224588.1
ITEM;1582;41;1.09;224588.1
ITEM;1500;87;0.87;224588.1
ITEM;1651;77;0.86;224588.1
ITEM;1653;80;1.01;224588.1
ITEM;1523;80;0.65;224588.1
ITEM;1543;55;0.81;224588.1
ITEM;1765;47;0.60;224588.1
ITEM;1772;60;0.71;224588.1
ITEM;1778;16;0.79;224588.1
ITEM;1610;34;0.81;224588.1
ITEM;43;428;0.78;224588.1
ITEM;2127;1671;1.23;224588.1
ITEM;42;301;0.52;224588.1
ITEM;61;254;1.19;224588.1
ITEM;75;304;0.51;224588.1
ITEM;2118;2071;0.56;224588.1
ITEM;51;220;0.95;224588.1
ITEM;63;94;0.91;224588.1
ITEM;60;400;0.51;224588.1
ITEM;53;2441;0.97;50.35662
ITEM;2651;121;0.88;50.35662
ITEM;2130;151;1.25;50.35662
ITEM;2116;318;1.08;50.35662
ITEM;2126;1854;1.02;50.35662
ITEM;2112;4283;0.79;34.32425
ITEM;2125;182;1.11;34.32425
ITEM;2119;159;0.57;34.32425
ITEM;2652;1878;1.22;846.45
ITEM;2128;393;1.01;846.45
ITEM;41;1792;1.02;19.09737
ITEM;2131;418;1.09;19.09737
ITEM;2120;307;1.15;19.09737
ITEM;2114;449;0.59;19.09737
ITEM;2111;1967;1.11;41.95675
ITEM;2650;95;1.08;41.95675
ITEM;756;148;0.80;10406.25
ITEM;750;54;0.63;10406.25
ITEM;676;94;0.91;10406.25
ITEM;691;189;0.85;22312.5
ITEM;693;54;1.23;22312.5
ITEM;729;176;1.23;22312.5
ITEM;738;167;0.79;22312.5
ITEM;755;87;0.94;22312.5
ITEM;752;91;0.94;22312.5
ITEM;711;80;0.91;22312.5
ITEM;700;117;0.79;22312.5
ITEM;742;142;1.13;22312.5
ITEM;725;108;1.15;22312.5
ITEM;720;126;1.08;22312.5
ITEM;749;138;0.52;22312.5
ITEM;737;133;0.92;22312.5
ITEM;760;169;0.99;22312.5
ITEM;692;116;0.79;22312.5
ITEM;747;98;1.15;104375
ITEM;701;103;1.02;104375
ITEM;710;194;0.88;104375
ITEM;727;21;0.89;104375
ITEM;757;103;0.80;31218.75
ITEM;678;163;0.98;31218.75
ITEM;753;175;0.57;31218.75
