// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Starbase Corporate Center
STATION;type;Assembly Station
STATION;owner;Vajeana
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color; 1.0 , 1.0, 0.0 , 1.0
STATION;level;8
STATION;icon;starbase.png
STATION;filename;sector_0_station_4.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-2-0-2-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;3-1-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;68015.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.93;npc_ship_data_(excavation_utility_1).txt
MERC;12;1.23;npc_ship_data_(excavation_utility_2).txt
MERC;15;1.47;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Buying: (2) Items ;324x1340,405x3268;188627;109203.60
ITEM;2000;317;0.98;15.31172
ITEM;1;11921;0.77;10.60028
ITEM;1622;27;0.86;12635.62
ITEM;1766;27;0.98;8560.248
ITEM;1761;2;1.15;8560.248
ITEM;1642;27;1.08;45544.81
ITEM;2306;25;0.87;333451.2
ITEM;622;6;1.18;333451.2
ITEM;641;12;0.50;3918.528
ITEM;1602;64;0.79;8702.32
ITEM;737;144;0.48;188501.9
ITEM;2490;55;0.98;8084.947
ITEM;2321;27;0.53;63034.05
ITEM;1592;16;1.01;10733.08
ITEM;667;45;1.08;505270.7
ITEM;310;855;0.80;505270.7
ITEM;2025;818;0.84;719.8649
ITEM;2001;150;0.25;719.8649
ITEM;163;359;0.60;18.35435
ITEM;111;979;0.76;16.63626
ITEM;2027;712;0.96;1206.697
ITEM;1483;21;0.25;10750.08
ITEM;302;849;0.49;10750.08
ITEM;1482;22;0.25;10750.08
ITEM;1481;31;0.25;10750.08
ITEM;2128;4188;1.09;94.22518
ITEM;2131;4274;0.77;120.0048
ITEM;2652;2758;0.58;120.0048
ITEM;1484;34;0.25;10750.08
ITEM;1485;20;0.25;10750.08
ITEM;1052;49;0.73;1429.888
ITEM;1053;78;0.58;35043.02
ITEM;351;2161;0.77;50.52327
ITEM;153;270;0.60;6.216506
ITEM;167;302;0.54;37.31169
ITEM;40;4184;0.74;9.283495
ITEM;50;3710;0.96;9.283495
ITEM;1620;5;0.61;9.283495
ITEM;1721;81;0.72;2295.871
ITEM;1722;79;1.00;3324.871
ITEM;2355;40;0.76;28966.65
ITEM;2029;610;1.01;1781.926
ITEM;2372;13;0.75;75339.12
ITEM;2369;49;0.67;75339.12
ITEM;1775;30;0.86;7429.655
ITEM;1650;74;0.92;5183.758
ITEM;620;14;0.72;5183.758
ITEM;312;2027;0.70;44.7018
ITEM;1712;17;0.94;3106.564
ITEM;60;6943;0.99;44.17035
ITEM;2358;71;0.55;17351.05
ITEM;1600;66;0.81;832.3796
ITEM;2529;49;0.94;13008.72
ITEM;208;247;1.12;13008.72
ITEM;1488;20;0.25;45867
ITEM;8;9384;0.45;205.6494
ITEM;115;1113;0.76;17.97871
ITEM;664;41;0.60;64228.7
ITEM;665;25;0.95;202654.8
ITEM;1112;76;0.98;2367.627
ITEM;1114;14;1.05;2367.627
ITEM;1115;40;1.02;22536.31
ITEM;1116;70;0.90;39798.85
ITEM;311;2186;0.66;39.82624
ITEM;116;764;1.02;96.56952
ITEM;109;784;0.62;2.601846
ITEM;353;2561;0.58;24.24677
ITEM;406;2367;0.96;26.56779
ITEM;403;2711;0.48;8.701097
ITEM;205;685;1.06;109.6457
ITEM;101;1868;0.57;0.3489593
